onet_soc_code,related_onet_soc_code,related_title,relatedness_tier,rank,related_is_stem
11-3021.00,15-1211.00,Computer Systems Analysts,Primary-Short,1.0,1
11-3021.00,13-1082.00,Project Management Specialists,Primary-Short,2.0,0
11-3021.00,15-1252.00,Software Developers,Primary-Short,3.0,1
11-3021.00,15-1299.08,Computer Systems Engineers/Architects,Primary-Short,4.0,1
11-3021.00,13-1111.00,Management Analysts,Primary-Short,5.0,0
11-3021.00,15-1299.09,Information Technology Project Managers,Primary-Long,6.0,1
11-3021.00,15-1243.00,Database Architects,Primary-Long,7.0,1
11-3021.00,15-1241.00,Computer Network Architects,Primary-Long,8.0,1
11-3021.00,15-1299.05,Information Security Engineers,Primary-Long,9.0,1
11-3021.00,15-1242.00,Database Administrators,Primary-Long,10.0,1
11-3021.00,25-1021.00,"Computer Science Teachers, Postsecondary",Supplemental,11.0,1
11-3021.00,15-1244.00,Network and Computer Systems Administrators,Supplemental,12.0,1
11-3021.00,15-1212.00,Information Security Analysts,Supplemental,13.0,1
11-3021.00,15-1251.00,Computer Programmers,Supplemental,14.0,1
11-3021.00,15-2051.01,Business Intelligence Analysts,Supplemental,15.0,1
11-3021.00,15-1253.00,Software Quality Assurance Analysts and Testers,Supplemental,16.0,1
11-3021.00,15-2051.00,Data Scientists,Supplemental,17.0,1
11-3021.00,15-1231.00,Computer Network Support Specialists,Supplemental,18.0,1
11-3021.00,15-1232.00,Computer User Support Specialists,Supplemental,19.0,1
11-3021.00,15-1299.03,Document Management Specialists,Supplemental,20.0,1
11-9041.00,13-1082.00,Project Management Specialists,Primary-Short,1.0,0
11-9041.00,17-2112.00,Industrial Engineers,Primary-Short,2.0,1
11-9041.00,13-1081.01,Logistics Engineers,Primary-Short,3.0,0
11-9041.00,17-2071.00,Electrical Engineers,Primary-Short,4.0,1
11-9041.00,25-1032.00,"Engineering Teachers, Postsecondary",Primary-Short,5.0,1
11-9041.00,17-3011.00,Architectural and Civil Drafters,Primary-Long,6.0,1
11-9041.00,17-2199.05,Mechatronics Engineers,Primary-Long,7.0,1
11-9041.00,17-2072.00,"Electronics Engineers, Except Computer",Primary-Long,8.0,1
11-9041.00,11-9121.00,Natural Sciences Managers,Primary-Long,9.0,1
11-9041.00,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Primary-Long,10.0,1
11-9041.00,17-3022.00,Civil Engineering Technologists and Technicians,Supplemental,11.0,1
11-9041.00,17-3027.00,Mechanical Engineering Technologists and Technicians,Supplemental,12.0,1
11-9041.00,17-2141.00,Mechanical Engineers,Supplemental,13.0,1
11-9041.00,17-2051.00,Civil Engineers,Supplemental,14.0,1
11-9041.00,11-9021.00,Construction Managers,Supplemental,15.0,0
11-9041.00,41-9031.00,Sales Engineers,Supplemental,16.0,1
11-9041.00,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,Supplemental,17.0,1
11-9041.00,17-3026.00,Industrial Engineering Technologists and Technicians,Supplemental,18.0,1
11-9041.00,17-2112.03,Manufacturing Engineers,Supplemental,19.0,1
11-9041.00,17-3012.00,Electrical and Electronics Drafters,Supplemental,20.0,1
11-9041.01,11-3051.03,Biofuels Production Managers,Primary-Short,1.0,0
11-9041.01,17-2041.00,Chemical Engineers,Primary-Short,2.0,1
11-9041.01,11-3051.04,Biomass Power Plant Managers,Primary-Short,3.0,0
11-9041.01,11-3051.02,Geothermal Production Managers,Primary-Short,4.0,0
11-9041.01,17-3026.01,Nanotechnology Engineering Technologists and Technicians,Primary-Short,5.0,1
11-9041.01,17-2112.03,Manufacturing Engineers,Primary-Long,6.0,1
11-9041.01,17-2199.03,"Energy Engineers, Except Wind and Solar",Primary-Long,7.0,1
11-9041.01,11-9199.10,Wind Energy Development Managers,Primary-Long,8.0,0
11-9041.01,17-2051.02,Water/Wastewater Engineers,Primary-Long,9.0,1
11-9041.01,17-2031.00,Bioengineers and Biomedical Engineers,Primary-Long,10.0,1
11-9041.01,51-8099.01,Biofuels Processing Technicians,Supplemental,11.0,0
11-9041.01,51-8013.03,Biomass Plant Technicians,Supplemental,12.0,0
11-9041.01,17-2199.09,Nanosystems Engineers,Supplemental,13.0,1
11-9041.01,19-2041.03,Industrial Ecologists,Supplemental,14.0,1
11-9041.01,17-2141.01,Fuel Cell Engineers,Supplemental,15.0,1
11-9041.01,17-3026.00,Industrial Engineering Technologists and Technicians,Supplemental,16.0,1
11-9041.01,11-3051.06,Hydroelectric Production Managers,Supplemental,17.0,0
11-9041.01,17-2112.00,Industrial Engineers,Supplemental,18.0,1
11-9041.01,17-2021.00,Agricultural Engineers,Supplemental,19.0,1
11-9041.01,17-2199.11,Solar Energy Systems Engineers,Supplemental,20.0,1
11-9111.00,15-1211.01,Health Informatics Specialists,Primary-Short,1.0,1
11-9111.00,21-1091.00,Health Education Specialists,Primary-Short,2.0,0
11-9111.00,29-1141.04,Clinical Nurse Specialists,Primary-Short,3.0,1
11-9111.00,11-9151.00,Social and Community Service Managers,Primary-Short,4.0,0
11-9111.00,25-1071.00,"Health Specialties Teachers, Postsecondary",Primary-Short,5.0,1
11-9111.00,13-1111.00,Management Analysts,Primary-Long,6.0,0
11-9111.00,29-9021.00,Health Information Technologists and Medical Registrars,Primary-Long,7.0,1
11-9111.00,29-1229.05,Preventive Medicine Physicians,Primary-Long,8.0,1
11-9111.00,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Primary-Long,9.0,0
11-9111.00,29-1214.00,Emergency Medicine Physicians,Primary-Long,10.0,1
11-9111.00,21-1015.00,Rehabilitation Counselors,Supplemental,11.0,0
11-9111.00,29-2099.08,Patient Representatives,Supplemental,12.0,1
11-9111.00,39-1022.00,First-Line Supervisors of Personal Service Workers,Supplemental,13.0,0
11-9111.00,31-2012.00,Occupational Therapy Aides,Supplemental,14.0,0
11-9111.00,31-9092.00,Medical Assistants,Supplemental,15.0,0
11-9111.00,15-2051.02,Clinical Data Managers,Supplemental,16.0,1
11-9111.00,29-1141.00,Registered Nurses,Supplemental,17.0,1
11-9111.00,11-9121.01,Clinical Research Coordinators,Supplemental,18.0,1
11-9111.00,43-6013.00,Medical Secretaries and Administrative Assistants,Supplemental,19.0,0
11-9111.00,11-3012.00,Administrative Services Managers,Supplemental,20.0,0
11-9121.00,13-1082.00,Project Management Specialists,Primary-Short,1.0,0
11-9121.00,17-2031.00,Bioengineers and Biomedical Engineers,Primary-Short,2.0,1
11-9121.00,15-2051.00,Data Scientists,Primary-Short,3.0,1
11-9121.00,19-4021.00,Biological Technicians,Primary-Short,4.0,1
11-9121.00,19-1029.02,Molecular and Cellular Biologists,Primary-Short,5.0,1
11-9121.00,19-1029.04,Biologists,Primary-Long,6.0,1
11-9121.00,25-1053.00,"Environmental Science Teachers, Postsecondary",Primary-Long,7.0,1
11-9121.00,11-9121.01,Clinical Research Coordinators,Primary-Long,8.0,1
11-9121.00,19-1029.01,Bioinformatics Scientists,Primary-Long,9.0,1
11-9121.00,11-9121.02,Water Resource Specialists,Primary-Long,10.0,1
11-9121.00,11-9041.00,Architectural and Engineering Managers,Supplemental,11.0,1
11-9121.00,17-3026.01,Nanotechnology Engineering Technologists and Technicians,Supplemental,12.0,1
11-9121.00,19-2031.00,Chemists,Supplemental,13.0,1
11-9121.00,19-4031.00,Chemical Technicians,Supplemental,14.0,1
11-9121.00,15-1221.00,Computer and Information Research Scientists,Supplemental,15.0,1
11-9121.00,15-2051.02,Clinical Data Managers,Supplemental,16.0,1
11-9121.00,13-1111.00,Management Analysts,Supplemental,17.0,0
11-9121.00,15-2099.01,Bioinformatics Technicians,Supplemental,18.0,1
11-9121.00,19-2041.00,"Environmental Scientists and Specialists, Including Health",Supplemental,19.0,1
11-9121.00,17-2112.00,Industrial Engineers,Supplemental,20.0,1
11-9121.01,15-2051.02,Clinical Data Managers,Primary-Short,1.0,1
11-9121.01,29-1141.04,Clinical Nurse Specialists,Primary-Short,2.0,1
11-9121.01,15-1211.01,Health Informatics Specialists,Primary-Short,3.0,1
11-9121.01,19-4061.00,Social Science Research Assistants,Primary-Short,4.0,1
11-9121.01,25-1071.00,"Health Specialties Teachers, Postsecondary",Primary-Short,5.0,1
11-9121.01,11-9111.00,Medical and Health Services Managers,Primary-Long,6.0,1
11-9121.01,29-2011.00,Medical and Clinical Laboratory Technologists,Primary-Long,7.0,1
11-9121.01,11-9121.00,Natural Sciences Managers,Primary-Long,8.0,1
11-9121.01,15-2041.01,Biostatisticians,Primary-Long,9.0,1
11-9121.01,19-1042.00,"Medical Scientists, Except Epidemiologists",Primary-Long,10.0,1
11-9121.01,29-9021.00,Health Information Technologists and Medical Registrars,Supplemental,11.0,1
11-9121.01,29-2099.08,Patient Representatives,Supplemental,12.0,1
11-9121.01,19-1041.00,Epidemiologists,Supplemental,13.0,1
11-9121.01,29-2012.00,Medical and Clinical Laboratory Technicians,Supplemental,14.0,1
11-9121.01,15-2051.00,Data Scientists,Supplemental,15.0,1
11-9121.01,29-1222.00,"Physicians, Pathologists",Supplemental,16.0,1
11-9121.01,29-1229.05,Preventive Medicine Physicians,Supplemental,17.0,1
11-9121.01,21-1091.00,Health Education Specialists,Supplemental,18.0,0
11-9121.01,31-9092.00,Medical Assistants,Supplemental,19.0,0
11-9121.01,17-2031.00,Bioengineers and Biomedical Engineers,Supplemental,20.0,1
11-9121.02,17-2051.02,Water/Wastewater Engineers,Primary-Short,1.0,1
11-9121.02,19-2041.03,Industrial Ecologists,Primary-Short,2.0,1
11-9121.02,19-1031.00,Conservation Scientists,Primary-Short,3.0,1
11-9121.02,17-2081.00,Environmental Engineers,Primary-Short,4.0,1
11-9121.02,19-2043.00,Hydrologists,Primary-Short,5.0,1
11-9121.02,19-2041.02,Environmental Restoration Planners,Primary-Long,6.0,1
11-9121.02,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Primary-Long,7.0,0
11-9121.02,19-2041.00,"Environmental Scientists and Specialists, Including Health",Primary-Long,8.0,1
11-9121.02,19-1031.02,Range Managers,Primary-Long,9.0,1
11-9121.02,11-9121.00,Natural Sciences Managers,Primary-Long,10.0,1
11-9121.02,19-4044.00,Hydrologic Technicians,Supplemental,11.0,1
11-9121.02,17-2051.00,Civil Engineers,Supplemental,12.0,1
11-9121.02,19-4042.00,"Environmental Science and Protection Technicians, Including Health",Supplemental,13.0,1
11-9121.02,17-3025.00,Environmental Engineering Technologists and Technicians,Supplemental,14.0,1
11-9121.02,11-3051.02,Geothermal Production Managers,Supplemental,15.0,0
11-9121.02,17-2021.00,Agricultural Engineers,Supplemental,16.0,1
11-9121.02,11-9199.10,Wind Energy Development Managers,Supplemental,17.0,0
11-9121.02,47-4011.01,Energy Auditors,Supplemental,18.0,0
11-9121.02,13-1041.01,Environmental Compliance Inspectors,Supplemental,19.0,0
11-9121.02,17-2171.00,Petroleum Engineers,Supplemental,20.0,1
15-1211.00,15-1252.00,Software Developers,Primary-Short,1.0,1
15-1211.00,15-1299.08,Computer Systems Engineers/Architects,Primary-Short,2.0,1
15-1211.00,15-1242.00,Database Administrators,Primary-Short,3.0,1
15-1211.00,11-3021.00,Computer and Information Systems Managers,Primary-Short,4.0,1
15-1211.00,15-1243.00,Database Architects,Primary-Short,5.0,1
15-1211.00,15-1244.00,Network and Computer Systems Administrators,Primary-Long,6.0,1
15-1211.00,15-1212.00,Information Security Analysts,Primary-Long,7.0,1
15-1211.00,15-1299.05,Information Security Engineers,Primary-Long,8.0,1
15-1211.00,15-1253.00,Software Quality Assurance Analysts and Testers,Primary-Long,9.0,1
15-1211.00,15-1211.01,Health Informatics Specialists,Primary-Long,10.0,1
15-1211.00,15-1251.00,Computer Programmers,Supplemental,11.0,1
15-1211.00,15-1241.00,Computer Network Architects,Supplemental,12.0,1
15-1211.00,15-1231.00,Computer Network Support Specialists,Supplemental,13.0,1
15-1211.00,15-1232.00,Computer User Support Specialists,Supplemental,14.0,1
15-1211.00,15-1243.01,Data Warehousing Specialists,Supplemental,15.0,1
15-1211.00,13-1111.00,Management Analysts,Supplemental,16.0,0
15-1211.00,15-1299.07,Blockchain Engineers,Supplemental,17.0,1
15-1211.00,15-1299.04,Penetration Testers,Supplemental,18.0,1
15-1211.00,15-2051.00,Data Scientists,Supplemental,19.0,1
15-1211.00,15-1299.03,Document Management Specialists,Supplemental,20.0,1
15-1211.01,29-9021.00,Health Information Technologists and Medical Registrars,Primary-Short,1.0,1
15-1211.01,11-9111.00,Medical and Health Services Managers,Primary-Short,2.0,1
15-1211.01,15-2051.02,Clinical Data Managers,Primary-Short,3.0,1
15-1211.01,21-1091.00,Health Education Specialists,Primary-Short,4.0,0
15-1211.01,29-1171.00,Nurse Practitioners,Primary-Short,5.0,1
15-1211.01,29-2072.00,Medical Records Specialists,Primary-Long,6.0,1
15-1211.01,29-2099.08,Patient Representatives,Primary-Long,7.0,1
15-1211.01,11-9121.01,Clinical Research Coordinators,Primary-Long,8.0,1
15-1211.01,19-4061.00,Social Science Research Assistants,Primary-Long,9.0,1
15-1211.01,15-1211.00,Computer Systems Analysts,Primary-Long,10.0,1
15-1211.01,29-1141.04,Clinical Nurse Specialists,Supplemental,11.0,1
15-1211.01,25-1072.00,"Nursing Instructors and Teachers, Postsecondary",Supplemental,12.0,1
15-1211.01,29-1141.00,Registered Nurses,Supplemental,13.0,1
15-1211.01,29-1229.05,Preventive Medicine Physicians,Supplemental,14.0,1
15-1211.01,29-1141.01,Acute Care Nurses,Supplemental,15.0,1
15-1211.01,29-1141.03,Critical Care Nurses,Supplemental,16.0,1
15-1211.01,25-1071.00,"Health Specialties Teachers, Postsecondary",Supplemental,17.0,1
15-1211.01,19-1041.00,Epidemiologists,Supplemental,18.0,1
15-1211.01,29-1141.02,Advanced Practice Psychiatric Nurses,Supplemental,19.0,1
15-1211.01,29-2061.00,Licensed Practical and Licensed Vocational Nurses,Supplemental,20.0,1
15-1212.00,15-1299.05,Information Security Engineers,Primary-Short,1.0,1
15-1212.00,15-1299.04,Penetration Testers,Primary-Short,2.0,1
15-1212.00,15-1299.06,Digital Forensics Analysts,Primary-Short,3.0,1
15-1212.00,15-1244.00,Network and Computer Systems Administrators,Primary-Short,4.0,1
15-1212.00,15-1211.00,Computer Systems Analysts,Primary-Short,5.0,1
15-1212.00,15-1231.00,Computer Network Support Specialists,Primary-Long,6.0,1
15-1212.00,15-1242.00,Database Administrators,Primary-Long,7.0,1
15-1212.00,15-1299.08,Computer Systems Engineers/Architects,Primary-Long,8.0,1
15-1212.00,15-1241.00,Computer Network Architects,Primary-Long,9.0,1
15-1212.00,15-1299.07,Blockchain Engineers,Primary-Long,10.0,1
15-1212.00,13-1199.07,Security Management Specialists,Supplemental,11.0,0
15-1212.00,11-3013.01,Security Managers,Supplemental,12.0,0
15-1212.00,11-3021.00,Computer and Information Systems Managers,Supplemental,13.0,1
15-1212.00,15-1252.00,Software Developers,Supplemental,14.0,1
15-1212.00,15-1232.00,Computer User Support Specialists,Supplemental,15.0,1
15-1212.00,15-1243.00,Database Architects,Supplemental,16.0,1
15-1212.00,33-3021.06,Intelligence Analysts,Supplemental,17.0,0
15-1212.00,15-1299.03,Document Management Specialists,Supplemental,18.0,1
15-1212.00,15-1241.01,Telecommunications Engineering Specialists,Supplemental,19.0,1
15-1212.00,15-1253.00,Software Quality Assurance Analysts and Testers,Supplemental,20.0,1
15-1221.00,15-2051.00,Data Scientists,Primary-Short,1.0,1
15-1221.00,15-2021.00,Mathematicians,Primary-Short,2.0,1
15-1221.00,15-1252.00,Software Developers,Primary-Short,3.0,1
15-1221.00,15-1251.00,Computer Programmers,Primary-Short,4.0,1
15-1221.00,15-2031.00,Operations Research Analysts,Primary-Short,5.0,1
15-1221.00,15-1299.08,Computer Systems Engineers/Architects,Primary-Long,6.0,1
15-1221.00,15-1211.00,Computer Systems Analysts,Primary-Long,7.0,1
15-1221.00,15-2099.01,Bioinformatics Technicians,Primary-Long,8.0,1
15-1221.00,19-1029.01,Bioinformatics Scientists,Primary-Long,9.0,1
15-1221.00,15-1243.00,Database Architects,Primary-Long,10.0,1
15-1221.00,11-9121.00,Natural Sciences Managers,Supplemental,11.0,1
15-1221.00,17-2031.00,Bioengineers and Biomedical Engineers,Supplemental,12.0,1
15-1221.00,11-3021.00,Computer and Information Systems Managers,Supplemental,13.0,1
15-1221.00,11-9041.00,Architectural and Engineering Managers,Supplemental,14.0,1
15-1221.00,15-2041.00,Statisticians,Supplemental,15.0,1
15-1221.00,25-1021.00,"Computer Science Teachers, Postsecondary",Supplemental,16.0,1
15-1221.00,17-2199.08,Robotics Engineers,Supplemental,17.0,1
15-1221.00,17-3026.01,Nanotechnology Engineering Technologists and Technicians,Supplemental,18.0,1
15-1221.00,15-1299.09,Information Technology Project Managers,Supplemental,19.0,1
15-1221.00,17-2061.00,Computer Hardware Engineers,Supplemental,20.0,1
15-1231.00,15-1241.00,Computer Network Architects,Primary-Short,1.0,1
15-1231.00,15-1244.00,Network and Computer Systems Administrators,Primary-Short,2.0,1
15-1231.00,15-1232.00,Computer User Support Specialists,Primary-Short,3.0,1
15-1231.00,15-1299.08,Computer Systems Engineers/Architects,Primary-Short,4.0,1
15-1231.00,15-1299.05,Information Security Engineers,Primary-Short,5.0,1
15-1231.00,15-1212.00,Information Security Analysts,Primary-Long,6.0,1
15-1231.00,15-1241.01,Telecommunications Engineering Specialists,Primary-Long,7.0,1
15-1231.00,15-1211.00,Computer Systems Analysts,Primary-Long,8.0,1
15-1231.00,15-1242.00,Database Administrators,Primary-Long,9.0,1
15-1231.00,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Primary-Long,10.0,0
15-1231.00,15-1252.00,Software Developers,Supplemental,11.0,1
15-1231.00,15-1299.04,Penetration Testers,Supplemental,12.0,1
15-1231.00,27-4012.00,Broadcast Technicians,Supplemental,13.0,0
15-1231.00,11-3021.00,Computer and Information Systems Managers,Supplemental,14.0,1
15-1231.00,15-1243.00,Database Architects,Supplemental,15.0,1
15-1231.00,15-1299.01,Web Administrators,Supplemental,16.0,1
15-1231.00,15-1253.00,Software Quality Assurance Analysts and Testers,Supplemental,17.0,1
15-1231.00,15-1299.07,Blockchain Engineers,Supplemental,18.0,1
15-1231.00,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,Supplemental,19.0,1
15-1231.00,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Supplemental,20.0,0
15-1232.00,15-1231.00,Computer Network Support Specialists,Primary-Short,1.0,1
15-1232.00,15-1244.00,Network and Computer Systems Administrators,Primary-Short,2.0,1
15-1232.00,15-1299.08,Computer Systems Engineers/Architects,Primary-Short,3.0,1
15-1232.00,15-1211.00,Computer Systems Analysts,Primary-Short,4.0,1
15-1232.00,15-1252.00,Software Developers,Primary-Short,5.0,1
15-1232.00,15-1242.00,Database Administrators,Primary-Long,6.0,1
15-1232.00,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",Primary-Long,7.0,0
15-1232.00,15-1212.00,Information Security Analysts,Primary-Long,8.0,1
15-1232.00,15-1299.05,Information Security Engineers,Primary-Long,9.0,1
15-1232.00,15-1253.00,Software Quality Assurance Analysts and Testers,Primary-Long,10.0,1
15-1232.00,15-1241.00,Computer Network Architects,Supplemental,11.0,1
15-1232.00,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,Supplemental,12.0,1
15-1232.00,15-1241.01,Telecommunications Engineering Specialists,Supplemental,13.0,1
15-1232.00,15-1251.00,Computer Programmers,Supplemental,14.0,1
15-1232.00,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Supplemental,15.0,0
15-1232.00,11-3021.00,Computer and Information Systems Managers,Supplemental,16.0,1
15-1232.00,15-1299.01,Web Administrators,Supplemental,17.0,1
15-1232.00,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Supplemental,18.0,0
15-1232.00,15-1255.00,Web and Digital Interface Designers,Supplemental,19.0,1
15-1232.00,27-4012.00,Broadcast Technicians,Supplemental,20.0,0
15-1241.00,15-1231.00,Computer Network Support Specialists,Primary-Short,1.0,1
15-1241.00,15-1244.00,Network and Computer Systems Administrators,Primary-Short,2.0,1
15-1241.00,15-1299.08,Computer Systems Engineers/Architects,Primary-Short,3.0,1
15-1241.00,15-1241.01,Telecommunications Engineering Specialists,Primary-Short,4.0,1
15-1241.00,15-1211.00,Computer Systems Analysts,Primary-Short,5.0,1
15-1241.00,15-1252.00,Software Developers,Primary-Long,6.0,1
15-1241.00,15-1299.05,Information Security Engineers,Primary-Long,7.0,1
15-1241.00,15-1242.00,Database Administrators,Primary-Long,8.0,1
15-1241.00,15-1243.00,Database Architects,Primary-Long,9.0,1
15-1241.00,17-2061.00,Computer Hardware Engineers,Primary-Long,10.0,1
15-1241.00,15-1212.00,Information Security Analysts,Supplemental,11.0,1
15-1241.00,15-1232.00,Computer User Support Specialists,Supplemental,12.0,1
15-1241.00,11-3021.00,Computer and Information Systems Managers,Supplemental,13.0,1
15-1241.00,17-2072.00,"Electronics Engineers, Except Computer",Supplemental,14.0,1
15-1241.00,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Supplemental,15.0,0
15-1241.00,15-1299.04,Penetration Testers,Supplemental,16.0,1
15-1241.00,15-1299.07,Blockchain Engineers,Supplemental,17.0,1
15-1241.00,17-2072.01,Radio Frequency Identification Device Specialists,Supplemental,18.0,1
15-1241.00,27-4012.00,Broadcast Technicians,Supplemental,19.0,0
15-1241.00,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,Supplemental,20.0,1
15-1241.01,15-1241.00,Computer Network Architects,Primary-Short,1.0,1
15-1241.01,15-1231.00,Computer Network Support Specialists,Primary-Short,2.0,1
15-1241.01,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Primary-Short,3.0,0
15-1241.01,15-1299.08,Computer Systems Engineers/Architects,Primary-Short,4.0,1
15-1241.01,15-1244.00,Network and Computer Systems Administrators,Primary-Short,5.0,1
15-1241.01,17-2072.00,"Electronics Engineers, Except Computer",Primary-Long,6.0,1
15-1241.01,15-1211.00,Computer Systems Analysts,Primary-Long,7.0,1
15-1241.01,15-1252.00,Software Developers,Primary-Long,8.0,1
15-1241.01,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",Primary-Long,9.0,0
15-1241.01,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,Primary-Long,10.0,1
15-1241.01,15-1299.05,Information Security Engineers,Supplemental,11.0,1
15-1241.01,15-1232.00,Computer User Support Specialists,Supplemental,12.0,1
15-1241.01,17-2072.01,Radio Frequency Identification Device Specialists,Supplemental,13.0,1
15-1241.01,15-1212.00,Information Security Analysts,Supplemental,14.0,1
15-1241.01,15-1242.00,Database Administrators,Supplemental,15.0,1
15-1241.01,11-3021.00,Computer and Information Systems Managers,Supplemental,16.0,1
15-1241.01,27-4012.00,Broadcast Technicians,Supplemental,17.0,0
15-1241.01,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Supplemental,18.0,0
15-1241.01,49-9052.00,Telecommunications Line Installers and Repairers,Supplemental,19.0,0
15-1241.01,17-2061.00,Computer Hardware Engineers,Supplemental,20.0,1
15-1242.00,15-1243.00,Database Architects,Primary-Short,1.0,1
15-1242.00,15-1211.00,Computer Systems Analysts,Primary-Short,2.0,1
15-1242.00,15-1244.00,Network and Computer Systems Administrators,Primary-Short,3.0,1
15-1242.00,15-1252.00,Software Developers,Primary-Short,4.0,1
15-1242.00,15-1299.08,Computer Systems Engineers/Architects,Primary-Short,5.0,1
15-1242.00,15-1243.01,Data Warehousing Specialists,Primary-Long,6.0,1
15-1242.00,15-1299.05,Information Security Engineers,Primary-Long,7.0,1
15-1242.00,15-1299.01,Web Administrators,Primary-Long,8.0,1
15-1242.00,15-1212.00,Information Security Analysts,Primary-Long,9.0,1
15-1242.00,15-1299.03,Document Management Specialists,Primary-Long,10.0,1
15-1242.00,15-1251.00,Computer Programmers,Supplemental,11.0,1
15-1242.00,15-1299.07,Blockchain Engineers,Supplemental,12.0,1
15-1242.00,15-1253.00,Software Quality Assurance Analysts and Testers,Supplemental,13.0,1
15-1242.00,15-1231.00,Computer Network Support Specialists,Supplemental,14.0,1
15-1242.00,15-1255.00,Web and Digital Interface Designers,Supplemental,15.0,1
15-1242.00,15-1241.00,Computer Network Architects,Supplemental,16.0,1
15-1242.00,15-1232.00,Computer User Support Specialists,Supplemental,17.0,1
15-1242.00,11-3021.00,Computer and Information Systems Managers,Supplemental,18.0,1
15-1242.00,15-1254.00,Web Developers,Supplemental,19.0,1
15-1242.00,15-1299.04,Penetration Testers,Supplemental,20.0,1
15-1243.00,15-1242.00,Database Administrators,Primary-Short,1.0,1
15-1243.00,15-1243.01,Data Warehousing Specialists,Primary-Short,2.0,1
15-1243.00,15-1252.00,Software Developers,Primary-Short,3.0,1
15-1243.00,15-1211.00,Computer Systems Analysts,Primary-Short,4.0,1
15-1243.00,15-1299.08,Computer Systems Engineers/Architects,Primary-Short,5.0,1
15-1243.00,15-1299.07,Blockchain Engineers,Primary-Long,6.0,1
15-1243.00,15-2051.00,Data Scientists,Primary-Long,7.0,1
15-1243.00,15-1253.00,Software Quality Assurance Analysts and Testers,Primary-Long,8.0,1
15-1243.00,15-1244.00,Network and Computer Systems Administrators,Primary-Long,9.0,1
15-1243.00,15-1241.00,Computer Network Architects,Primary-Long,10.0,1
15-1243.00,15-1251.00,Computer Programmers,Supplemental,11.0,1
15-1243.00,15-1255.00,Web and Digital Interface Designers,Supplemental,12.0,1
15-1243.00,11-3021.00,Computer and Information Systems Managers,Supplemental,13.0,1
15-1243.00,15-1299.05,Information Security Engineers,Supplemental,14.0,1
15-1243.00,15-2051.01,Business Intelligence Analysts,Supplemental,15.0,1
15-1243.00,15-2031.00,Operations Research Analysts,Supplemental,16.0,1
15-1243.00,13-1082.00,Project Management Specialists,Supplemental,17.0,0
15-1243.00,15-1299.02,Geographic Information Systems Technologists and Technicians,Supplemental,18.0,1
15-1243.00,15-1299.03,Document Management Specialists,Supplemental,19.0,1
15-1243.00,17-2061.00,Computer Hardware Engineers,Supplemental,20.0,1
15-1243.01,15-1243.00,Database Architects,Primary-Short,1.0,1
15-1243.01,15-1242.00,Database Administrators,Primary-Short,2.0,1
15-1243.01,15-1252.00,Software Developers,Primary-Short,3.0,1
15-1243.01,15-1211.00,Computer Systems Analysts,Primary-Short,4.0,1
15-1243.01,15-1299.08,Computer Systems Engineers/Architects,Primary-Short,5.0,1
15-1243.01,15-1253.00,Software Quality Assurance Analysts and Testers,Primary-Long,6.0,1
15-1243.01,15-2051.00,Data Scientists,Primary-Long,7.0,1
15-1243.01,15-1299.07,Blockchain Engineers,Primary-Long,8.0,1
15-1243.01,15-2051.01,Business Intelligence Analysts,Primary-Long,9.0,1
15-1243.01,15-1251.00,Computer Programmers,Primary-Long,10.0,1
15-1243.01,15-1299.03,Document Management Specialists,Supplemental,11.0,1
15-1243.01,15-1244.00,Network and Computer Systems Administrators,Supplemental,12.0,1
15-1243.01,13-1081.01,Logistics Engineers,Supplemental,13.0,0
15-1243.01,15-2031.00,Operations Research Analysts,Supplemental,14.0,1
15-1243.01,17-2061.00,Computer Hardware Engineers,Supplemental,15.0,1
15-1243.01,17-2112.00,Industrial Engineers,Supplemental,16.0,1
15-1243.01,17-2112.02,Validation Engineers,Supplemental,17.0,1
15-1243.01,11-3021.00,Computer and Information Systems Managers,Supplemental,18.0,1
15-1243.01,15-1254.00,Web Developers,Supplemental,19.0,1
15-1243.01,15-1241.00,Computer Network Architects,Supplemental,20.0,1
15-1244.00,15-1231.00,Computer Network Support Specialists,Primary-Short,1.0,1
15-1244.00,15-1242.00,Database Administrators,Primary-Short,2.0,1
15-1244.00,15-1241.00,Computer Network Architects,Primary-Short,3.0,1
