onet_soc_code,stem_category_id,stem_category_name,parent_category_name
17-3026.01,2-1,Architecture and Engineering,Technologists and Technicians
17-3027.00,2,Technologists and Technicians,
17-3027.00,2-1,Architecture and Engineering,Technologists and Technicians
17-3027.01,2,Technologists and Technicians,
17-3027.01,2-1,Architecture and Engineering,Technologists and Technicians
17-3028.00,2,Technologists and Technicians,
17-3028.00,2-1,Architecture and Engineering,Technologists and Technicians
17-3029.00,2,Technologists and Technicians,
17-3029.00,2-1,Architecture and Engineering,Technologists and Technicians
17-3029.01,2,Technologists and Technicians,
17-3029.01,2-1,Architecture and Engineering,Technologists and Technicians
17-3029.08,2,Technologists and Technicians,
17-3029.08,2-1,Architecture and Engineering,Technologists and Technicians
17-3031.00,2,Technologists and Technicians,
17-3031.00,2-1,Architecture and Engineering,Technologists and Technicians
19-1011.00,1,"Research, Development, Design, and Practitioners",
19-1011.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-1012.00,1,"Research, Development, Design, and Practitioners",
19-1012.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-1013.00,1,"Research, Development, Design, and Practitioners",
19-1013.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-1021.00,1,"Research, Development, Design, and Practitioners",
19-1021.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-1022.00,1,"Research, Development, Design, and Practitioners",
19-1022.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-1023.00,1,"Research, Development, Design, and Practitioners",
19-1023.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-1029.00,1,"Research, Development, Design, and Practitioners",
19-1029.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-1029.01,1,"Research, Development, Design, and Practitioners",
19-1029.01,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-1029.02,1,"Research, Development, Design, and Practitioners",
19-1029.02,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-1029.03,1,"Research, Development, Design, and Practitioners",
19-1029.03,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-1029.04,1,"Research, Development, Design, and Practitioners",
19-1029.04,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-1031.00,1,"Research, Development, Design, and Practitioners",
19-1031.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-1031.02,1,"Research, Development, Design, and Practitioners",
19-1031.02,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-1031.03,1,"Research, Development, Design, and Practitioners",
19-1031.03,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-1032.00,1,"Research, Development, Design, and Practitioners",
19-1032.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-1041.00,1,"Research, Development, Design, and Practitioners",
19-1041.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-1042.00,1,"Research, Development, Design, and Practitioners",
19-1042.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-1099.00,1,"Research, Development, Design, and Practitioners",
19-1099.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-2011.00,1,"Research, Development, Design, and Practitioners",
19-2011.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-2012.00,1,"Research, Development, Design, and Practitioners",
19-2012.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-2021.00,1,"Research, Development, Design, and Practitioners",
19-2021.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-2031.00,1,"Research, Development, Design, and Practitioners",
19-2031.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-2032.00,1,"Research, Development, Design, and Practitioners",
19-2032.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-2041.00,1,"Research, Development, Design, and Practitioners",
19-2041.00,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-2041.01,1,"Research, Development, Design, and Practitioners",
19-2041.01,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-2041.02,1,"Research, Development, Design, and Practitioners",
19-2041.02,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-2041.03,1,"Research, Development, Design, and Practitioners",
19-2041.03,1-4,"Life, Physical, and Social Science","Research, Development, Design, and Practitioners"
19-2042.00,1,"Research, Development, Design, and Practitioners",
