onet_soc_code,title,stem_occupation_types,total_employment,tractability,resistance,recurrence,frontier_distance,stage_now,stage_now_label,stage_reachable,stage_reachable_label,pending_crossings,willingness_gap,classification,erosion_risk,surprise_potential,weighty_crossing
15-2011.00,Actuaries,"Research, Development, Design, and Practitioners",26670.0,65.2,60.0,32.4,-20.0,1,AI informed,2,AI recommended,1,42.6,Watch point,27.5,2.3,
29-1223.00,Psychiatrists,"Research, Development, Design, and Practitioners",27980.0,60.8,69.6,67.3,-26.7,1,AI informed,2,AI recommended,1,43.0,Watch point,26.9,2.3,
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",23480.0,63.6,43.3,34.6,-2.2,1,AI informed,3,"AI executed, human veto",2,39.3,Crossing now,13.8,2.2,
19-2041.01,Climate Change Policy Analysts,"Research, Development, Design, and Practitioners",89250.0,69.0,41.9,34.6,-4.1,2,AI recommended,3,"AI executed, human veto",1,45.1,Crossing now,24.3,2.2,proposing action to taking it
19-2041.02,Environmental Restoration Planners,"Research, Development, Design, and Practitioners",89250.0,60.2,46.3,33.9,-2.9,1,AI informed,3,"AI executed, human veto",2,40.6,Watch point,13.5,2.2,
15-1211.01,Health Informatics Specialists,"Research, Development, Design, and Practitioners",519530.0,74.0,37.9,50.2,-2.6,2,AI recommended,3,"AI executed, human veto",1,39.4,Crossing now,24.6,1.9,proposing action to taking it
15-1243.01,Data Warehousing Specialists,"Research, Development, Design, and Practitioners",67140.0,75.1,34.8,42.9,-0.0,2,AI recommended,3,"AI executed, human veto",1,35.9,Crossing now,24.9,1.8,proposing action to taking it
15-2021.00,Mathematicians,"Research, Development, Design, and Practitioners",2030.0,74.9,31.7,49.5,3.2,2,AI recommended,3,"AI executed, human veto",1,36.5,Crossing now,25.3,1.8,proposing action to taking it
15-2041.01,Biostatisticians,"Research, Development, Design, and Practitioners",29030.0,74.6,35.0,35.7,-0.0,2,AI recommended,3,"AI executed, human veto",1,34.7,Crossing now,25.6,1.8,proposing action to taking it
15-2051.00,Data Scientists,"Research, Development, Design, and Practitioners",262440.0,75.2,31.9,53.0,2.8,2,AI recommended,3,"AI executed, human veto",1,36.6,Crossing now,24.8,1.8,proposing action to taking it
29-1141.04,Clinical Nurse Specialists,"Research, Development, Design, and Practitioners",3379720.0,57.2,69.6,58.4,-24.0,1,AI informed,2,AI recommended,1,44.9,Watch point,19.8,1.8,
11-3021.00,Computer and Information Systems Managers,Managerial,670570.0,69.1,47.6,51.7,-9.8,2,AI recommended,3,"AI executed, human veto",1,39.6,Watch point,21.5,1.7,proposing action to taking it
15-2041.00,Statisticians,"Research, Development, Design, and Practitioners",29030.0,73.3,34.8,52.6,0.8,2,AI recommended,3,"AI executed, human veto",1,35.2,Crossing now,24.2,1.7,proposing action to taking it
19-1041.00,Epidemiologists,"Research, Development, Design, and Practitioners",12090.0,62.1,54.3,44.1,-12.3,1,AI informed,2,AI recommended,1,43.0,Watch point,19.4,1.7,
19-3011.00,Economists,"Research, Development, Design, and Practitioners",17790.0,66.8,45.5,44.8,-6.4,2,AI recommended,3,"AI executed, human veto",1,41.0,Human held,20.5,1.7,proposing action to taking it
29-1229.05,Preventive Medicine Physicians,"Research, Development, Design, and Practitioners",342720.0,62.7,60.5,48.8,-18.9,1,AI informed,2,AI recommended,1,40.7,Watch point,20.3,1.7,
15-2031.00,Operations Research Analysts,"Research, Development, Design, and Practitioners",108510.0,71.2,37.0,43.5,-0.3,2,AI recommended,3,"AI executed, human veto",1,38.0,Crossing now,20.4,1.6,proposing action to taking it
29-1171.00,Nurse Practitioners,"Research, Development, Design, and Practitioners",323040.0,56.6,69.8,78.6,-23.7,1,AI informed,2,AI recommended,1,40.3,Watch point,19.5,1.6,
15-1299.04,Penetration Testers,"Research, Development, Design, and Practitioners; Technologists and Technicians",435370.0,70.0,41.4,55.2,-4.1,2,AI recommended,3,"AI executed, human veto",1,32.5,Crossing now,23.6,1.5,proposing action to taking it
15-2051.02,Clinical Data Managers,"Research, Development, Design, and Practitioners",262440.0,75.2,34.5,42.2,0.2,2,AI recommended,3,"AI executed, human veto",1,33.6,Crossing now,21.9,1.5,proposing action to taking it
17-2112.01,Human Factors Engineers and Ergonomists,"Research, Development, Design, and Practitioners",365740.0,58.2,47.4,37.5,-2.5,1,AI informed,3,"AI executed, human veto",2,38.0,Watch point,9.7,1.5,
19-1029.01,Bioinformatics Scientists,"Research, Development, Design, and Practitioners",55850.0,66.1,41.2,50.2,-1.7,2,AI recommended,3,"AI executed, human veto",1,41.9,Crossing now,17.7,1.5,proposing action to taking it
19-3051.00,Urban and Regional Planners,"Research, Development, Design, and Practitioners",44230.0,67.7,45.9,41.7,-7.3,2,AI recommended,3,"AI executed, human veto",1,38.6,Human held,19.6,1.5,proposing action to taking it
11-9041.00,Architectural and Engineering Managers,Managerial,220260.0,63.4,54.8,41.2,-13.6,1,AI informed,2,AI recommended,1,37.2,Watch point,18.9,1.4,
15-1299.09,Information Technology Project Managers,"Research, Development, Design, and Practitioners; Technologists and Technicians",435370.0,69.1,47.1,53.5,-9.3,2,AI recommended,3,"AI executed, human veto",1,34.7,Human held,20.6,1.4,proposing action to taking it
17-2161.00,Nuclear Engineers,"Research, Development, Design, and Practitioners",15280.0,60.3,49.4,28.2,-6.1,1,AI informed,3,"AI executed, human veto",2,32.9,Human held,10.4,1.4,
29-1229.06,Sports Medicine Physicians,"Research, Development, Design, and Practitioners",342720.0,56.9,66.9,64.8,-21.0,1,AI informed,2,AI recommended,1,40.1,Watch point,18.0,1.4,
11-9121.00,Natural Sciences Managers,Managerial,108690.0,65.6,51.2,43.7,-11.4,1,AI informed,2,AI recommended,1,37.8,Watch point,17.6,1.3,
15-1211.00,Computer Systems Analysts,"Research, Development, Design, and Practitioners",519530.0,73.7,35.4,46.7,0.0,2,AI recommended,3,"AI executed, human veto",1,33.9,Crossing now,19.8,1.3,proposing action to taking it
15-1221.00,Computer and Information Research Scientists,"Research, Development, Design, and Practitioners",37200.0,67.6,44.9,47.8,-6.3,2,AI recommended,3,"AI executed, human veto",1,36.7,Human held,17.3,1.3,proposing action to taking it
15-1255.00,Web and Digital Interface Designers,"Research, Development, Design, and Practitioners",113330.0,76.2,32.3,46.6,2.0,2,AI recommended,3,"AI executed, human veto",1,31.1,Crossing now,20.2,1.3,proposing action to taking it
15-1299.02,Geographic Information Systems Technologists and Technicians,"Research, Development, Design, and Practitioners; Technologists and Technicians",435370.0,78.4,28.4,50.9,4.9,3,"AI executed, human veto",4,"AI led, human audit",1,29.9,Crossing now,21.9,1.3,human veto to after-the-fact audit (erosion)
15-1299.05,Information Security Engineers,"Research, Development, Design, and Practitioners; Technologists and Technicians",435370.0,67.6,45.7,49.9,-7.1,2,AI recommended,3,"AI executed, human veto",1,33.1,Human held,19.0,1.3,proposing action to taking it
15-2051.01,Business Intelligence Analysts,"Research, Development, Design, and Practitioners",262440.0,79.0,28.3,51.5,4.7,3,"AI executed, human veto",4,"AI led, human audit",1,28.0,Crossing now,22.7,1.3,human veto to after-the-fact audit (erosion)
17-2051.01,Transportation Engineers,"Research, Development, Design, and Practitioners",367840.0,59.9,47.3,37.2,-3.7,1,AI informed,3,"AI executed, human veto",2,32.4,Crossing now,10.3,1.3,
17-2141.02,Automotive Engineers,"Research, Development, Design, and Practitioners",296810.0,60.6,42.8,40.2,0.3,1,AI informed,3,"AI executed, human veto",2,33.6,Crossing now,9.4,1.3,
29-1224.00,Radiologists,"Research, Development, Design, and Practitioners",26770.0,57.3,68.7,73.8,-23.1,1,AI informed,2,AI recommended,1,34.0,Human held,18.6,1.3,
15-1212.00,Information Security Analysts,"Research, Development, Design, and Practitioners",190650.0,71.1,43.6,50.3,-6.9,2,AI recommended,3,"AI executed, human veto",1,27.5,Human held,21.0,1.2,proposing action to taking it
15-1243.00,Database Architects,"Research, Development, Design, and Practitioners",67140.0,76.3,33.7,46.9,0.5,2,AI recommended,3,"AI executed, human veto",1,29.7,Crossing now,20.7,1.2,proposing action to taking it
15-1299.07,Blockchain Engineers,"Research, Development, Design, and Practitioners; Technologists and Technicians",435370.0,70.4,39.8,45.6,-2.7,2,AI recommended,3,"AI executed, human veto",1,29.4,Crossing now,19.6,1.2,proposing action to taking it
19-1042.00,"Medical Scientists, Except Epidemiologists","Research, Development, Design, and Practitioners",172340.0,57.3,49.6,46.8,-4.0,1,AI informed,3,"AI executed, human veto",2,33.8,Crossing now,9.2,1.2,
19-3039.03,Clinical Neuropsychologists,"Research, Development, Design, and Practitioners",18820.0,55.4,68.1,62.0,-21.0,1,AI informed,2,AI recommended,1,39.4,Watch point,14.7,1.2,
25-1031.00,"Architecture Teachers, Postsecondary",Postsecondary Teaching,7700.0,70.8,41.8,48.6,-4.9,2,AI recommended,3,"AI executed, human veto",1,35.4,Crossing now,16.3,1.2,proposing action to taking it
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",Postsecondary Teaching,1520.0,70.6,42.5,48.6,-5.5,2,AI recommended,3,"AI executed, human veto",1,35.9,Human held,16.6,1.2,proposing action to taking it
25-1053.00,"Environmental Science Teachers, Postsecondary",Postsecondary Teaching,6690.0,70.3,42.7,44.9,-5.6,2,AI recommended,3,"AI executed, human veto",1,36.1,Human held,16.9,1.2,proposing action to taking it
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",Postsecondary Teaching,5240.0,69.3,42.9,43.7,-5.2,2,AI recommended,3,"AI executed, human veto",1,36.7,Human held,16.2,1.2,proposing action to taking it
25-1063.00,"Economics Teachers, Postsecondary",Postsecondary Teaching,11560.0,71.1,41.4,44.5,-4.7,2,AI recommended,3,"AI executed, human veto",1,35.3,Crossing now,16.5,1.2,proposing action to taking it
25-1066.00,"Psychology Teachers, Postsecondary",Postsecondary Teaching,41530.0,68.9,44.8,45.1,-6.9,2,AI recommended,3,"AI executed, human veto",1,36.2,Human held,15.9,1.2,proposing action to taking it
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",Postsecondary Teaching,77960.0,68.9,45.8,45.7,-7.9,2,AI recommended,3,"AI executed, human veto",1,37.3,Human held,16.0,1.2,proposing action to taking it
29-1031.00,Dietitians and Nutritionists,"Research, Development, Design, and Practitioners",77570.0,60.6,59.6,45.0,-16.5,1,AI informed,2,AI recommended,1,38.0,Watch point,16.2,1.2,
15-1299.06,Digital Forensics Analysts,"Research, Development, Design, and Practitioners; Technologists and Technicians",435370.0,68.8,41.9,48.0,-4.0,2,AI recommended,3,"AI executed, human veto",1,28.3,Crossing now,19.8,1.1,proposing action to taking it
15-1299.08,Computer Systems Engineers/Architects,"Research, Development, Design, and Practitioners; Technologists and Technicians",435370.0,70.3,39.2,45.9,-2.1,2,AI recommended,3,"AI executed, human veto",1,31.2,Crossing now,17.2,1.1,proposing action to taking it
15-2099.01,Bioinformatics Technicians,"Research, Development, Design, and Practitioners; Technologists and Technicians",3720.0,75.5,32.4,45.7,2.2,2,AI recommended,3,"AI executed, human veto",1,30.8,Crossing now,18.4,1.1,proposing action to taking it
17-2112.00,Industrial Engineers,"Research, Development, Design, and Practitioners",365740.0,66.6,43.8,47.3,-4.6,2,AI recommended,3,"AI executed, human veto",1,34.0,Crossing now,16.6,1.1,proposing action to taking it
19-2012.00,Physicists,"Research, Development, Design, and Practitioners",20430.0,63.4,39.8,39.1,1.4,2,AI recommended,3,"AI executed, human veto",1,37.9,Crossing now,14.2,1.1,proposing action to taking it
19-3033.00,Clinical and Counseling Psychologists,"Research, Development, Design, and Practitioners",75990.0,59.9,62.4,56.5,-18.8,1,AI informed,2,AI recommended,1,36.4,Watch point,15.6,1.1,
25-1022.00,"Mathematical Science Teachers, Postsecondary",Postsecondary Teaching,47670.0,70.8,42.4,41.3,-5.5,2,AI recommended,3,"AI executed, human veto",1,33.2,Human held,16.2,1.1,proposing action to taking it
25-1032.00,"Engineering Teachers, Postsecondary",Postsecondary Teaching,40270.0,70.8,41.8,47.7,-4.9,2,AI recommended,3,"AI executed, human veto",1,35.0,Crossing now,16.3,1.1,proposing action to taking it
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",Postsecondary Teaching,8920.0,70.1,43.0,48.6,-5.8,2,AI recommended,3,"AI executed, human veto",1,35.7,Human held,15.5,1.1,proposing action to taking it
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Postsecondary Teaching,9900.0,70.6,41.5,41.9,-4.5,2,AI recommended,3,"AI executed, human veto",1,34.0,Crossing now,15.5,1.1,proposing action to taking it
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Postsecondary Teaching,11300.0,70.5,41.6,46.6,-4.6,2,AI recommended,3,"AI executed, human veto",1,35.7,Crossing now,15.7,1.1,proposing action to taking it
25-1065.00,"Political Science Teachers, Postsecondary",Postsecondary Teaching,16970.0,70.9,41.7,47.0,-4.9,2,AI recommended,3,"AI executed, human veto",1,35.1,Crossing now,16.2,1.1,proposing action to taking it
25-1067.00,"Sociology Teachers, Postsecondary",Postsecondary Teaching,11850.0,70.2,42.7,42.1,-5.5,2,AI recommended,3,"AI executed, human veto",1,35.4,Human held,15.6,1.1,proposing action to taking it
29-1127.00,Speech-Language Pathologists,"Research, Development, Design, and Practitioners",183390.0,56.3,66.5,59.1,-20.1,1,AI informed,2,AI recommended,1,37.8,Watch point,13.9,1.1,
15-1255.01,Video Game Designers,"Research, Development, Design, and Practitioners",113330.0,74.0,32.9,49.7,2.4,2,AI recommended,3,"AI executed, human veto",1,32.6,Crossing now,15.0,1.0,proposing action to taking it
15-1299.01,Web Administrators,"Research, Development, Design, and Practitioners; Technologists and Technicians",435370.0,73.2,35.5,43.4,0.2,2,AI recommended,3,"AI executed, human veto",1,26.8,Crossing now,17.8,1.0,proposing action to taking it
17-2041.00,Chemical Engineers,"Research, Development, Design, and Practitioners",21070.0,56.6,45.1,37.5,1.0,1,AI informed,3,"AI executed, human veto",2,32.2,Crossing now,7.5,1.0,
17-2141.00,Mechanical Engineers,"Research, Development, Design, and Practitioners",296810.0,60.7,44.7,53.1,-1.7,1,AI informed,3,"AI executed, human veto",2,32.9,Crossing now,7.4,1.0,
19-3022.00,Survey Researchers,"Research, Development, Design, and Practitioners",8290.0,66.9,41.6,47.7,-2.6,2,AI recommended,3,"AI executed, human veto",1,35.0,Crossing now,13.9,1.0,proposing action to taking it
19-3039.02,Neuropsychologists,"Research, Development, Design, and Practitioners",18820.0,57.1,61.9,61.2,-16.2,1,AI informed,2,AI recommended,1,38.4,Watch point,12.4,1.0,
25-1021.00,"Computer Science Teachers, Postsecondary",Postsecondary Teaching,35480.0,68.6,43.7,46.8,-5.6,2,AI recommended,3,"AI executed, human veto",1,36.5,Human held,13.9,1.0,proposing action to taking it
25-1042.00,"Biological Science Teachers, Postsecondary",Postsecondary Teaching,50190.0,68.9,42.4,46.9,-4.5,2,AI recommended,3,"AI executed, human veto",1,35.3,Crossing now,13.5,1.0,proposing action to taking it
25-1064.00,"Geography Teachers, Postsecondary",Postsecondary Teaching,3330.0,69.8,41.7,47.1,-4.3,2,AI recommended,3,"AI executed, human veto",1,34.0,Crossing now,14.4,1.0,proposing action to taking it
25-1071.00,"Health Specialties Teachers, Postsecondary",Postsecondary Teaching,221270.0,70.0,42.9,41.9,-5.6,2,AI recommended,3,"AI executed, human veto",1,34.4,Human held,15.1,1.0,proposing action to taking it
29-1129.01,Art Therapists,"Research, Development, Design, and Practitioners",22640.0,59.5,61.8,59.6,-17.9,1,AI informed,2,AI recommended,1,34.8,Human held,14.4,1.0,
29-1129.02,Music Therapists,"Research, Development, Design, and Practitioners",22640.0,56.0,64.5,63.8,-17.9,1,AI informed,2,AI recommended,1,38.2,Watch point,12.9,1.0,
29-2051.00,Dietetic Technicians,Technologists and Technicians,31560.0,58.9,61.3,59.4,-17.0,1,AI informed,2,AI recommended,1,36.3,Watch point,13.1,1.0,
11-9121.01,Clinical Research Coordinators,Managerial,108690.0,69.9,44.3,47.0,-6.9,2,AI recommended,3,"AI executed, human veto",1,28.4,Human held,15.2,0.9,proposing action to taking it
15-1241.00,Computer Network Architects,"Research, Development, Design, and Practitioners",179740.0,68.5,41.0,39.8,-2.9,2,AI recommended,3,"AI executed, human veto",1,30.9,Crossing now,14.9,0.9,proposing action to taking it
15-1252.00,Software Developers,"Research, Development, Design, and Practitioners",1687890.0,71.8,39.6,54.2,-3.2,2,AI recommended,3,"AI executed, human veto",1,29.0,Crossing now,16.0,0.9,proposing action to taking it
17-2021.00,Agricultural Engineers,"Research, Development, Design, and Practitioners",1480.0,60.4,49.1,42.1,-5.9,1,AI informed,3,"AI executed, human veto",2,32.1,Human held,7.0,0.9,
17-2112.03,Manufacturing Engineers,"Research, Development, Design, and Practitioners",365740.0,63.4,44.5,43.3,-3.3,2,AI recommended,3,"AI executed, human veto",1,34.9,Crossing now,13.4,0.9,proposing action to taking it
17-2199.10,Wind Energy Engineers,"Research, Development, Design, and Practitioners",154070.0,58.3,46.7,30.5,-1.9,1,AI informed,3,"AI executed, human veto",2,29.8,Crossing now,7.5,0.9,
19-1031.00,Conservation Scientists,"Research, Development, Design, and Practitioners",25950.0,56.7,47.6,36.1,-1.6,1,AI informed,3,"AI executed, human veto",2,33.4,Crossing now,6.4,0.9,
19-2011.00,Astronomers,"Research, Development, Design, and Practitioners",2120.0,64.4,44.7,36.2,-4.2,2,AI recommended,3,"AI executed, human veto",1,34.1,Crossing now,12.5,0.9,proposing action to taking it
19-3034.00,School Psychologists,"Research, Development, Design, and Practitioners",63940.0,63.6,52.1,54.7,-11.0,1,AI informed,2,AI recommended,1,35.9,Watch point,12.0,0.9,
25-1054.00,"Physics Teachers, Postsecondary",Postsecondary Teaching,13090.0,68.9,42.3,45.5,-4.4,2,AI recommended,3,"AI executed, human veto",1,33.8,Crossing now,13.1,0.9,proposing action to taking it
29-1123.00,Physical Therapists,"Research, Development, Design, and Practitioners",267330.0,56.3,66.1,69.4,-19.7,1,AI informed,2,AI recommended,1,33.1,Human held,12.9,0.9,
11-9111.00,Medical and Health Services Managers,Managerial,597080.0,66.7,49.1,47.6,-10.0,2,AI recommended,3,"AI executed, human veto",1,30.7,Human held,13.8,0.8,proposing action to taking it
11-9121.02,Water Resource Specialists,Managerial,108690.0,61.6,43.3,29.1,-0.9,2,AI recommended,3,"AI executed, human veto",1,33.6,Crossing now,11.2,0.8,proposing action to taking it
17-1011.00,"Architects, Except Landscape and Naval","Research, Development, Design, and Practitioners",106770.0,62.5,46.1,51.3,-4.3,2,AI recommended,3,"AI executed, human veto",1,32.5,Crossing now,11.7,0.8,proposing action to taking it
17-2199.05,Mechatronics Engineers,"Research, Development, Design, and Practitioners",154070.0,59.9,44.0,47.4,-0.4,1,AI informed,3,"AI executed, human veto",2,30.3,Crossing now,6.6,0.8,
19-1029.04,Biologists,"Research, Development, Design, and Practitioners",55850.0,61.7,41.9,41.3,0.4,2,AI recommended,3,"AI executed, human veto",1,35.7,Crossing now,10.8,0.8,proposing action to taking it
19-4061.00,Social Science Research Assistants,Technologists and Technicians,30640.0,69.8,39.1,47.9,-1.7,2,AI recommended,3,"AI executed, human veto",1,27.9,Crossing now,14.4,0.8,proposing action to taking it
25-1052.00,"Chemistry Teachers, Postsecondary",Postsecondary Teaching,19980.0,68.2,43.5,47.4,-5.2,2,AI recommended,3,"AI executed, human veto",1,33.1,Human held,12.8,0.8,proposing action to taking it
29-1071.00,Physician Assistants,"Research, Development, Design, and Practitioners",162150.0,52.8,69.6,87.2,-20.2,1,AI informed,2,AI recommended,1,32.0,Human held,11.8,0.8,
29-2072.00,Medical Records Specialists,Technologists and Technicians,194720.0,71.5,45.5,73.3,-9.0,2,AI recommended,3,"AI executed, human veto",1,22.4,Human held,18.1,0.8,proposing action to taking it
29-9021.00,Health Information Technologists and Medical Registrars,"Research, Development, Design, and Practitioners; Technologists and Technicians",38100.0,68.9,45.7,,-7.8,2,AI recommended,3,"AI executed, human veto",1,27.7,Human held,15.0,0.8,proposing action to taking it
19-2021.00,Atmospheric and Space Scientists,"Research, Development, Design, and Practitioners",10000.0,63.4,38.7,51.9,2.5,2,AI recommended,3,"AI executed, human veto",1,33.4,Crossing now,11.1,0.7,proposing action to taking it
29-1181.00,Audiologists,"Research, Development, Design, and Practitioners",13660.0,54.8,66.3,63.8,-18.7,1,AI informed,2,AI recommended,1,33.5,Human held,10.8,0.7,
29-1222.00,"Physicians, Pathologists","Research, Development, Design, and Practitioners",11110.0,54.5,62.4,63.5,-14.5,1,AI informed,2,AI recommended,1,29.1,Human held,12.3,0.7,
29-1299.02,Orthoptists,"Research, Development, Design, and Practitioners",28630.0,52.8,67.2,75.1,-17.8,1,AI informed,2,AI recommended,1,31.9,Human held,11.6,0.7,
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers","Research, Development, Design, and Practitioners",6080.0,62.0,45.4,33.0,-3.3,2,AI recommended,3,"AI executed, human veto",1,29.8,Crossing now,10.1,0.6,proposing action to taking it
29-2099.08,Patient Representatives,Technologists and Technicians,182610.0,71.7,37.3,57.8,-0.9,2,AI recommended,3,"AI executed, human veto",1,28.2,Crossing now,10.2,0.6,proposing action to taking it
15-1241.01,Telecommunications Engineering Specialists,"Research, Development, Design, and Practitioners",179740.0,67.5,38.0,44.6,0.7,2,AI recommended,3,"AI executed, human veto",1,26.3,Crossing now,10.2,0.5,proposing action to taking it
17-1012.00,Landscape Architects,"Research, Development, Design, and Practitioners",19600.0,64.2,41.1,47.3,-0.4,2,AI recommended,3,"AI executed, human veto",1,31.7,Crossing now,8.6,0.5,proposing action to taking it
17-2081.00,Environmental Engineers,"Research, Development, Design, and Practitioners",38340.0,61.8,45.5,34.7,-3.3,2,AI recommended,3,"AI executed, human veto",1,31.6,Crossing now,8.5,0.5,proposing action to taking it
17-2199.06,Microsystems Engineers,"Research, Development, Design, and Practitioners",154070.0,60.3,44.2,32.7,-0.9,2,AI recommended,3,"AI executed, human veto",1,30.1,Crossing now,8.1,0.5,proposing action to taking it
19-1029.02,Molecular and Cellular Biologists,"Research, Development, Design, and Practitioners",55850.0,56.8,46.7,49.2,-0.7,1,AI informed,3,"AI executed, human veto",2,29.1,Crossing now,4.4,0.5,
29-1081.00,Podiatrists,"Research, Development, Design, and Practitioners",9680.0,50.4,66.2,75.9,-14.4,1,AI informed,2,AI recommended,1,30.9,Human held,7.4,0.5,
29-1122.00,Occupational Therapists,"Research, Development, Design, and Practitioners",162450.0,54.1,64.1,66.0,-15.8,1,AI informed,2,AI recommended,1,33.3,Human held,7.5,0.5,
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists","Research, Development, Design, and Practitioners",162450.0,52.6,66.5,52.5,-16.9,1,AI informed,2,AI recommended,1,36.7,Human held,7.2,0.5,
29-1299.01,Naturopathic Physicians,"Research, Development, Design, and Practitioners",28630.0,53.9,65.1,67.4,-16.7,1,AI informed,2,AI recommended,1,31.6,Human held,8.3,0.5,
41-4011.07,Solar Sales Representatives and Assessors,Sales,284800.0,69.8,37.1,67.5,0.3,2,AI recommended,3,"AI executed, human veto",1,27.2,Crossing now,9.4,0.5,proposing action to taking it
41-9031.00,Sales Engineers,Sales,51790.0,70.9,37.3,46.6,-0.5,2,AI recommended,3,"AI executed, human veto",1,26.4,Crossing now,9.2,0.5,proposing action to taking it
15-1244.00,Network and Computer Systems Administrators,"Research, Development, Design, and Practitioners",314340.0,69.3,36.9,44.4,0.8,2,AI recommended,3,"AI executed, human veto",1,17.7,Crossing now,10.2,0.4,proposing action to taking it
17-2011.00,Aerospace Engineers,"Research, Development, Design, and Practitioners",67710.0,60.3,46.0,45.5,-2.7,2,AI recommended,3,"AI executed, human veto",1,25.9,Crossing now,6.8,0.4,proposing action to taking it
17-2061.00,Computer Hardware Engineers,"Research, Development, Design, and Practitioners",76660.0,63.6,40.8,40.6,0.3,2,AI recommended,3,"AI executed, human veto",1,28.5,Crossing now,7.2,0.4,proposing action to taking it
17-2072.00,"Electronics Engineers, Except Computer","Research, Development, Design, and Practitioners",96900.0,63.6,40.4,46.2,0.7,2,AI recommended,3,"AI executed, human veto",1,25.6,Crossing now,7.1,0.4,proposing action to taking it
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","Research, Development, Design, and Practitioners",21450.0,53.2,55.5,38.4,-6.4,1,AI informed,2,AI recommended,1,33.3,Human held,5.4,0.4,
17-2131.00,Materials Engineers,"Research, Development, Design, and Practitioners",22770.0,60.7,46.2,43.3,-3.2,2,AI recommended,3,"AI executed, human veto",1,27.4,Crossing now,6.8,0.4,proposing action to taking it
17-2199.03,"Energy Engineers, Except Wind and Solar","Research, Development, Design, and Practitioners",154070.0,64.2,40.8,36.9,-0.1,2,AI recommended,3,"AI executed, human veto",1,23.8,Crossing now,8.3,0.4,proposing action to taking it
17-2199.07,Photonics Engineers,"Research, Development, Design, and Practitioners",154070.0,61.0,40.2,33.6,2.6,2,AI recommended,3,"AI executed, human veto",1,30.1,Crossing now,6.5,0.4,proposing action to taking it
17-2199.08,Robotics Engineers,"Research, Development, Design, and Practitioners",154070.0,60.8,41.5,42.7,1.4,2,AI recommended,3,"AI executed, human veto",1,28.7,Crossing now,7.2,0.4,proposing action to taking it
17-3011.00,Architectural and Civil Drafters,Technologists and Technicians,103700.0,67.3,36.4,47.4,2.4,2,AI recommended,3,"AI executed, human veto",1,21.1,Crossing now,8.6,0.4,proposing action to taking it
17-3013.00,Mechanical Drafters,Technologists and Technicians,39960.0,68.5,37.4,57.8,0.7,2,AI recommended,3,"AI executed, human veto",1,20.5,Crossing now,8.8,0.4,proposing action to taking it
