onet_soc_code,title,stem_occupation_types,total_employment,tractability,resistance,recurrence,frontier_distance,stage_now,stage_now_label,stage_reachable,stage_reachable_label,pending_crossings,willingness_gap,classification,erosion_risk,surprise_potential,weighty_crossing
19-3099.01,Transportation Planners,"Research, Development, Design, and Practitioners",37100.0,66.8,46.8,34.5,-7.7,1,AI informed,3,"AI executed, human veto",2,45.1,Watch point,26.3,4.7,
19-3094.00,Political Scientists,"Research, Development, Design, and Practitioners",5540.0,68.8,41.9,39.6,-4.0,1,AI informed,3,"AI executed, human veto",2,45.9,Crossing now,24.6,4.5,
19-3011.01,Environmental Economists,"Research, Development, Design, and Practitioners",17790.0,65.2,41.3,31.6,-1.3,1,AI informed,3,"AI executed, human veto",2,45.1,Crossing now,21.4,3.9,
19-2041.03,Industrial Ecologists,"Research, Development, Design, and Practitioners",89250.0,63.5,41.2,33.4,-0.1,1,AI informed,3,"AI executed, human veto",2,44.1,Crossing now,19.6,3.5,
19-2041.00,"Environmental Scientists and Specialists, Including Health","Research, Development, Design, and Practitioners",89250.0,62.2,48.0,38.0,-6.0,1,AI informed,3,"AI executed, human veto",2,41.0,Watch point,19.6,3.2,
19-3041.00,Sociologists,"Research, Development, Design, and Practitioners",2260.0,65.8,47.2,44.1,-7.5,1,AI informed,3,"AI executed, human veto",2,41.1,Watch point,17.1,2.8,
29-9092.00,Genetic Counselors,"Research, Development, Design, and Practitioners",3740.0,65.1,66.3,69.0,-26.2,1,AI informed,2,AI recommended,1,46.5,Watch point,30.4,2.8,
17-2051.02,Water/Wastewater Engineers,"Research, Development, Design, and Practitioners",367840.0,62.1,47.3,30.1,-5.3,1,AI informed,3,"AI executed, human veto",2,38.8,Watch point,17.3,2.7,
19-3032.00,Industrial-Organizational Psychologists,"Research, Development, Design, and Practitioners",790.0,64.3,49.3,36.7,-8.7,1,AI informed,3,"AI executed, human veto",2,41.2,Watch point,16.6,2.7,
29-1229.02,Hospitalists,"Research, Development, Design, and Practitioners",342720.0,62.7,67.7,75.9,-26.1,1,AI informed,2,AI recommended,1,43.1,Watch point,27.4,2.4,
