onet_soc_code,title,stem_occupation_types,job_zone,n_tasks_scored,susceptibility,exposure,anchoring,deployment_gap,share_tasks_high_susceptibility,share_largely_automatable,share_human_anchored,quadrant
17-3027.01,Automotive Engineering Technicians,Technologists and Technicians,3,18,56.6,50.0,36.8,7.7,0.222,0.111,0.056,Insulated
29-1051.00,Pharmacists,"Research, Development, Design, and Practitioners",5,21,56.4,59.3,46.5,26.1,0.19,0.143,0.476,Human-anchored
17-3031.00,Surveying and Mapping Technicians,Technologists and Technicians,3,30,56.1,45.1,32.8,-4.4,0.3,0.2,0.067,Insulated
19-1031.02,Range Managers,"Research, Development, Design, and Practitioners",4,18,55.9,56.8,44.9,33.1,0.167,0.0,0.111,Human-anchored
17-1022.00,Surveyors,Technologists and Technicians,4,24,55.8,48.0,36.3,3.9,0.292,0.167,0.042,Insulated
29-1223.00,Psychiatrists,"Research, Development, Design, and Practitioners",5,12,55.6,64.6,53.4,43.0,0.167,0.0,0.583,Contested
17-3025.00,Environmental Engineering Technologists and Technicians,Technologists and Technicians,4,23,55.2,50.1,39.8,11.4,0.13,0.13,0.174,Insulated
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Managerial,4,18,55.0,54.3,44.2,31.4,0.167,0.0,0.0,Human-anchored
17-2051.00,Civil Engineers,"Research, Development, Design, and Practitioners",4,16,55.0,55.2,45.2,26.8,0.125,0.0,0.188,Human-anchored
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,Technologists and Technicians,3,28,55.0,47.7,37.7,9.4,0.179,0.071,0.036,Insulated
29-2051.00,Dietetic Technicians,Technologists and Technicians,3,13,54.7,60.0,50.5,36.3,0.077,0.0,0.308,Human-anchored
29-1129.01,Art Therapists,"Research, Development, Design, and Practitioners",5,25,54.5,58.9,50.0,34.8,0.16,0.04,0.48,Human-anchored
19-3033.00,Clinical and Counseling Psychologists,"Research, Development, Design, and Practitioners",5,30,54.3,59.4,50.8,36.4,0.133,0.033,0.533,Human-anchored
