onet_soc_code,title,stem_occupation_types,job_zone,n_tasks_scored,susceptibility,exposure,anchoring,deployment_gap,share_tasks_high_susceptibility,share_largely_automatable,share_human_anchored,quadrant
29-2099.08,Patient Representatives,Technologists and Technicians,3,13,68.3,69.4,32.7,28.2,0.615,0.308,0.077,Displaceable
15-1299.06,Digital Forensics Analysts,"Research, Development, Design, and Practitioners; Technologists and Technicians",4,20,68.2,70.5,34.2,28.3,0.45,0.15,0.0,Displaceable
15-1212.00,Information Security Analysts,"Research, Development, Design, and Practitioners",4,11,68.1,70.3,34.0,27.5,0.273,0.182,0.0,Displaceable
29-2072.00,Medical Records Specialists,Technologists and Technicians,3,16,67.9,70.8,35.1,22.5,0.688,0.25,0.188,Displaceable
41-4011.07,Solar Sales Representatives and Assessors,Sales,3,13,67.8,70.0,34.5,27.2,0.538,0.385,0.0,Displaceable
19-1029.01,Bioinformatics Scientists,"Research, Development, Design, and Practitioners",5,20,67.7,72.8,37.5,41.9,0.6,0.0,0.05,Displaceable
19-3011.01,Environmental Economists,"Research, Development, Design, and Practitioners",5,20,67.7,73.8,38.4,45.1,0.35,0.05,0.0,Displaceable
15-1232.00,Computer User Support Specialists,Technologists and Technicians,3,16,67.6,64.9,29.8,18.7,0.625,0.312,0.062,Displaceable
15-1244.00,Network and Computer Systems Administrators,"Research, Development, Design, and Practitioners",3,20,67.6,66.5,31.3,17.7,0.35,0.25,0.0,Displaceable
41-9031.00,Sales Engineers,Sales,4,25,67.6,68.6,33.4,26.5,0.52,0.36,0.08,Displaceable
19-4061.00,Social Science Research Assistants,Technologists and Technicians,4,22,67.5,68.4,33.4,27.9,0.455,0.182,0.045,Displaceable
15-1241.00,Computer Network Architects,"Research, Development, Design, and Practitioners",4,33,67.2,69.5,35.1,30.9,0.364,0.091,0.061,Displaceable
19-1011.00,Animal Scientists,"Research, Development, Design, and Practitioners",5,9,67.1,69.7,35.6,38.3,0.556,0.0,0.0,Displaceable
25-1063.00,"Economics Teachers, Postsecondary",Postsecondary Teaching,5,22,67.1,69.6,35.3,35.3,0.455,0.091,0.182,Displaceable
15-1231.00,Computer Network Support Specialists,Technologists and Technicians,4,26,67.0,61.9,27.9,9.2,0.423,0.5,0.0,Displaceable
19-2041.03,Industrial Ecologists,"Research, Development, Design, and Practitioners",5,38,67.0,73.3,39.3,44.1,0.263,0.0,0.0,Displaceable
25-1032.00,"Engineering Teachers, Postsecondary",Postsecondary Teaching,5,24,67.0,69.4,35.5,35.0,0.458,0.125,0.167,Displaceable
19-3099.01,Transportation Planners,"Research, Development, Design, and Practitioners",4,22,66.9,73.7,39.8,45.1,0.409,0.045,0.136,Displaceable
25-1031.00,"Architecture Teachers, Postsecondary",Postsecondary Teaching,5,22,66.8,69.2,35.6,35.4,0.455,0.091,0.182,Displaceable
25-1065.00,"Political Science Teachers, Postsecondary",Postsecondary Teaching,5,22,66.8,69.1,35.6,35.2,0.455,0.091,0.182,Displaceable
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",Postsecondary Teaching,5,25,66.6,69.1,36.0,35.9,0.48,0.08,0.16,Displaceable
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Postsecondary Teaching,5,26,66.6,68.7,35.4,34.0,0.462,0.115,0.154,Displaceable
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Postsecondary Teaching,5,23,66.6,69.0,35.8,35.7,0.435,0.087,0.174,Displaceable
15-1241.01,Telecommunications Engineering Specialists,"Research, Development, Design, and Practitioners",3,26,66.5,66.3,33.3,26.3,0.385,0.192,0.0,Displaceable
25-1053.00,"Environmental Science Teachers, Postsecondary",Postsecondary Teaching,5,25,66.5,69.1,36.2,36.1,0.48,0.08,0.16,Displaceable
25-1022.00,"Mathematical Science Teachers, Postsecondary",Postsecondary Teaching,5,23,66.4,68.6,35.7,33.2,0.478,0.13,0.217,Displaceable
25-1064.00,"Geography Teachers, Postsecondary",Postsecondary Teaching,5,25,66.1,67.9,35.8,34.1,0.44,0.12,0.16,Displaceable
25-1067.00,"Sociology Teachers, Postsecondary",Postsecondary Teaching,5,24,66.0,68.3,36.4,35.5,0.417,0.083,0.167,Displaceable
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",Postsecondary Teaching,5,23,65.8,68.2,36.6,35.7,0.435,0.087,0.174,Displaceable
11-9121.01,Clinical Research Coordinators,Managerial,4,33,65.7,67.5,36.2,28.4,0.364,0.212,0.091,Displaceable
17-3011.00,Architectural and Civil Drafters,Technologists and Technicians,3,26,65.7,62.4,31.0,21.0,0.538,0.038,0.038,Displaceable
19-3011.00,Economists,"Research, Development, Design, and Practitioners",5,14,65.7,71.3,39.8,41.0,0.357,0.0,0.286,Displaceable
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",Postsecondary Teaching,5,27,65.7,68.4,37.0,36.8,0.444,0.074,0.185,Displaceable
25-1071.00,"Health Specialties Teachers, Postsecondary",Postsecondary Teaching,5,22,65.7,67.7,36.3,34.4,0.455,0.091,0.182,Displaceable
17-3013.00,Mechanical Drafters,Technologists and Technicians,3,16,65.6,61.7,30.6,20.5,0.188,0.125,0.062,Displaceable
19-2012.00,Physicists,"Research, Development, Design, and Practitioners",5,16,65.6,68.8,37.6,37.9,0.375,0.0,0.062,Displaceable
11-3021.00,Computer and Information Systems Managers,Managerial,4,17,65.5,69.9,38.9,39.6,0.412,0.118,0.118,Displaceable
19-3022.00,Survey Researchers,"Research, Development, Design, and Practitioners",5,16,65.5,68.7,37.6,35.0,0.375,0.125,0.062,Displaceable
19-3051.00,Urban and Regional Planners,"Research, Development, Design, and Practitioners",5,25,65.5,70.0,39.0,38.6,0.36,0.12,0.12,Displaceable
15-1299.05,Information Security Engineers,"Research, Development, Design, and Practitioners; Technologists and Technicians",4,20,65.4,68.8,38.1,33.2,0.4,0.1,0.05,Displaceable
15-1221.00,Computer and Information Research Scientists,"Research, Development, Design, and Practitioners",5,15,65.3,69.1,38.6,36.7,0.267,0.2,0.067,Displaceable
19-2021.00,Atmospheric and Space Scientists,"Research, Development, Design, and Practitioners",4,27,65.3,67.9,37.2,33.4,0.556,0.037,0.037,Displaceable
19-4012.01,Precision Agriculture Technicians,Technologists and Technicians,3,22,65.3,62.8,32.1,20.3,0.545,0.182,0.0,Displaceable
15-1299.09,Information Technology Project Managers,"Research, Development, Design, and Practitioners; Technologists and Technicians",4,21,65.2,68.7,38.2,34.7,0.381,0.095,0.19,Displaceable
17-2112.00,Industrial Engineers,"Research, Development, Design, and Practitioners",4,20,65.2,67.3,37.0,34.0,0.3,0.1,0.05,Displaceable
25-1042.00,"Biological Science Teachers, Postsecondary",Postsecondary Teaching,5,27,65.2,67.2,36.7,35.3,0.407,0.074,0.148,Displaceable
29-9021.00,Health Information Technologists and Medical Registrars,"Research, Development, Design, and Practitioners; Technologists and Technicians",3,16,65.2,67.7,37.2,27.6,0.562,0.188,0.25,Displaceable
25-1054.00,"Physics Teachers, Postsecondary",Postsecondary Teaching,5,24,65.1,66.7,36.5,33.9,0.417,0.083,0.167,Displaceable
25-1021.00,"Computer Science Teachers, Postsecondary",Postsecondary Teaching,5,26,64.8,67.5,37.9,36.6,0.423,0.038,0.192,Displaceable
25-1066.00,"Psychology Teachers, Postsecondary",Postsecondary Teaching,5,29,64.6,67.2,38.0,36.2,0.448,0.069,0.241,Displaceable
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,30,64.5,68.2,39.2,39.4,0.233,0.1,0.1,Displaceable
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",Postsecondary Teaching,5,29,64.4,67.5,38.8,37.3,0.345,0.069,0.172,Displaceable
19-4099.03,Remote Sensing Technicians,Technologists and Technicians,4,21,64.2,59.7,31.2,16.3,0.524,0.143,0.0,Insulated
25-1052.00,"Chemistry Teachers, Postsecondary",Postsecondary Teaching,5,28,64.1,65.5,37.3,33.1,0.393,0.071,0.214,Displaceable
17-1012.00,Landscape Architects,"Research, Development, Design, and Practitioners",4,19,63.5,64.6,37.7,31.7,0.421,0.053,0.158,Displaceable
17-2199.03,"Energy Engineers, Except Wind and Solar","Research, Development, Design, and Practitioners",4,21,63.5,63.6,36.6,23.7,0.286,0.238,0.0,Displaceable
19-3041.00,Sociologists,"Research, Development, Design, and Practitioners",5,15,63.4,68.7,41.7,41.0,0.267,0.0,0.267,Contested
17-2072.00,"Electronics Engineers, Except Computer","Research, Development, Design, and Practitioners",4,20,63.3,63.2,36.5,25.6,0.35,0.2,0.0,Displaceable
19-2041.00,"Environmental Scientists and Specialists, Including Health","Research, Development, Design, and Practitioners",4,22,63.3,69.0,42.5,41.0,0.182,0.045,0.045,Contested
17-2061.00,Computer Hardware Engineers,"Research, Development, Design, and Practitioners",4,18,63.2,63.4,36.9,28.5,0.333,0.0,0.056,Displaceable
17-2112.03,Manufacturing Engineers,"Research, Development, Design, and Practitioners",4,24,63.2,65.5,39.1,34.9,0.208,0.042,0.042,Displaceable
19-1029.04,Biologists,"Research, Development, Design, and Practitioners",5,22,63.2,66.0,39.6,35.7,0.364,0.045,0.136,Displaceable
19-2099.01,Remote Sensing Scientists and Technologists,"Research, Development, Design, and Practitioners",4,24,63.2,61.9,35.5,26.4,0.333,0.125,0.0,Displaceable
17-2111.02,Fire-Prevention and Protection Engineers,"Research, Development, Design, and Practitioners",4,14,63.0,68.3,42.3,38.2,0.357,0.0,0.143,Contested
17-3012.00,Electrical and Electronics Drafters,Technologists and Technicians,3,30,63.0,60.3,34.2,23.7,0.233,0.133,0.067,Displaceable
19-2042.00,"Geoscientists, Except Hydrologists and Geographers","Research, Development, Design, and Practitioners",4,32,62.9,63.1,37.2,27.3,0.312,0.031,0.0,Displaceable
17-2051.02,Water/Wastewater Engineers,"Research, Development, Design, and Practitioners",4,28,62.7,66.4,41.1,38.8,0.214,0.0,0.143,Contested
19-2011.00,Astronomers,"Research, Development, Design, and Practitioners",5,17,62.7,65.3,39.9,34.1,0.412,0.0,0.294,Displaceable
17-2199.07,Photonics Engineers,"Research, Development, Design, and Practitioners",4,26,62.6,62.7,37.5,30.1,0.308,0.038,0.0,Displaceable
19-1029.03,Geneticists,"Research, Development, Design, and Practitioners",5,24,62.6,64.8,39.7,33.8,0.208,0.042,0.125,Displaceable
17-2072.01,Radio Frequency Identification Device Specialists,"Research, Development, Design, and Practitioners",4,21,62.5,60.4,35.5,23.2,0.333,0.048,0.0,Displaceable
11-9121.02,Water Resource Specialists,Managerial,4,21,62.4,65.0,40.2,33.5,0.333,0.143,0.095,Contested
17-2199.08,Robotics Engineers,"Research, Development, Design, and Practitioners",4,24,62.3,62.6,38.0,28.7,0.167,0.125,0.042,Displaceable
17-3022.00,Civil Engineering Technologists and Technicians,Technologists and Technicians,3,14,62.3,61.9,37.3,23.0,0.429,0.071,0.071,Displaceable
17-1022.01,Geodetic Surveyors,Technologists and Technicians,4,16,62.2,55.2,30.8,3.4,0.312,0.375,0.0,Insulated
17-2141.02,Automotive Engineers,"Research, Development, Design, and Practitioners",4,25,61.9,63.1,39.3,33.6,0.2,0.08,0.0,Displaceable
19-3032.00,Industrial-Organizational Psychologists,"Research, Development, Design, and Practitioners",5,25,61.9,67.2,43.3,41.1,0.16,0.0,0.24,Contested
17-3027.00,Mechanical Engineering Technologists and Technicians,Technologists and Technicians,3,30,61.6,58.0,34.7,16.9,0.267,0.067,0.0,Insulated
19-2041.02,Environmental Restoration Planners,"Research, Development, Design, and Practitioners",5,23,61.5,65.8,42.9,40.6,0.261,0.043,0.0,Contested
17-1011.00,"Architects, Except Landscape and Naval","Research, Development, Design, and Practitioners",5,25,61.4,63.0,40.1,32.5,0.4,0.0,0.12,Contested
19-4099.01,Quality Control Analysts,Technologists and Technicians,3,26,61.4,60.5,37.6,20.0,0.346,0.192,0.154,Displaceable
11-9121.00,Natural Sciences Managers,Managerial,5,16,61.3,65.0,42.3,37.8,0.188,0.062,0.188,Contested
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers","Research, Development, Design, and Practitioners",4,18,61.3,62.7,39.9,29.7,0.278,0.167,0.222,Displaceable
19-2032.00,Materials Scientists,"Research, Development, Design, and Practitioners",4,16,61.3,62.2,39.5,26.6,0.25,0.0,0.062,Displaceable
11-9111.00,Medical and Health Services Managers,Managerial,4,18,61.2,62.3,40.0,30.7,0.222,0.167,0.333,Displaceable
17-2112.02,Validation Engineers,"Research, Development, Design, and Practitioners",4,21,61.2,59.7,37.3,23.2,0.286,0.143,0.0,Insulated
