onet_soc_code,title,susceptibility,total_employment,destination_code,destination,destination_susceptibility,relief,overlap,shared_activities,shared_protected,carries_exposure,verdict
29-1122.00,Occupational Therapists,50.0,162450.0,29-1022.00,Oral and Maxillofacial Surgeons,29.4,20.6,0.213,3,3,0,Real move
29-1299.01,Naturopathic Physicians,49.9,28630.0,29-1022.00,Oral and Maxillofacial Surgeons,29.4,20.5,0.218,3,3,0,Real move
29-1216.00,General Internal Medicine Physicians,49.6,67150.0,29-1022.00,Oral and Maxillofacial Surgeons,29.4,20.2,0.213,3,3,0,Real move
29-9091.00,Athletic Trainers,49.6,30500.0,29-1022.00,Oral and Maxillofacial Surgeons,29.4,20.2,0.196,3,3,0,Real move
29-1141.02,Advanced Practice Psychiatric Nurses,49.5,3379720.0,29-1022.00,Oral and Maxillofacial Surgeons,29.4,20.1,0.213,3,3,0,Real move
29-1213.00,Dermatologists,49.5,11370.0,29-1022.00,Oral and Maxillofacial Surgeons,29.4,20.1,0.267,3,3,0,Real move
29-1011.00,Chiropractors,49.4,39630.0,29-2057.00,Ophthalmic Medical Technicians,36.5,12.9,0.179,3,3,0,Real move
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",49.2,162450.0,29-1022.00,Oral and Maxillofacial Surgeons,29.4,19.8,0.242,3,3,0,Real move
29-1128.00,Exercise Physiologists,49.0,8560.0,29-2057.00,Ophthalmic Medical Technicians,36.5,12.5,0.214,4,4,0,Real move
29-1071.00,Physician Assistants,48.8,162150.0,29-9093.00,Surgical Assistants,30.0,18.8,0.149,3,3,0,Real move
29-1141.01,Acute Care Nurses,48.2,3379720.0,29-1022.00,Oral and Maxillofacial Surgeons,29.4,18.8,0.378,6,6,0,Real move
29-2011.02,Cytotechnologists,48.1,332940.0,29-1071.01,Anesthesiologist Assistants,35.0,13.1,0.202,3,2,1,Real move
29-2081.00,"Opticians, Dispensing",48.1,73530.0,29-1071.01,Anesthesiologist Assistants,35.0,13.1,0.172,3,3,0,Real move
29-1218.00,Obstetricians and Gynecologists,48.0,21260.0,29-1022.00,Oral and Maxillofacial Surgeons,29.4,18.6,0.218,3,3,0,Real move
29-1161.00,Nurse Midwives,47.4,7920.0,29-1071.01,Anesthesiologist Assistants,35.0,12.4,0.202,4,3,1,Real move
29-1221.00,"Pediatricians, General",47.3,39390.0,29-1022.00,Oral and Maxillofacial Surgeons,29.4,17.9,0.208,3,3,0,Real move
29-1241.00,"Ophthalmologists, Except Pediatric",47.3,8950.0,29-1022.00,Oral and Maxillofacial Surgeons,29.4,17.9,0.229,3,3,0,Real move
29-1131.00,Veterinarians,47.2,83900.0,29-1071.01,Anesthesiologist Assistants,35.0,12.2,0.145,3,2,1,Real move
29-1141.00,Registered Nurses,47.1,3379720.0,29-9093.00,Surgical Assistants,30.0,17.1,0.285,9,9,0,Real move
29-2032.00,Diagnostic Medical Sonographers,46.8,90160.0,29-9093.00,Surgical Assistants,30.0,16.8,0.346,10,10,0,Real move
29-1242.00,"Orthopedic Surgeons, Except Pediatric",46.7,14100.0,29-1022.00,Oral and Maxillofacial Surgeons,29.4,17.3,0.224,3,3,0,Real move
29-1214.00,Emergency Medicine Physicians,46.6,32880.0,29-1022.00,Oral and Maxillofacial Surgeons,29.4,17.2,0.306,4,4,0,Real move
29-2012.00,Medical and Clinical Laboratory Technicians,46.6,332940.0,29-2012.01,Histology Technicians,34.2,12.4,0.39,4,4,0,Real move
29-2011.00,Medical and Clinical Laboratory Technologists,46.5,332940.0,29-2012.01,Histology Technicians,34.2,12.3,0.447,4,4,0,Real move
29-2033.00,Nuclear Medicine Technologists,46.1,17080.0,29-9093.00,Surgical Assistants,30.0,16.1,0.126,3,3,0,Real move
29-1243.00,Pediatric Surgeons,45.2,1190.0,29-9093.00,Surgical Assistants,30.0,15.2,0.164,4,4,0,Real move
29-1041.00,Optometrists,45.1,42790.0,29-1022.00,Oral and Maxillofacial Surgeons,29.4,15.7,0.277,3,3,0,Real move
29-2034.00,Radiologic Technologists and Technicians,44.9,230490.0,29-9093.00,Surgical Assistants,30.0,14.9,0.255,7,7,0,Real move
29-9099.01,Midwives,44.8,35010.0,29-1022.00,Oral and Maxillofacial Surgeons,29.4,15.4,0.299,5,5,0,Real move
29-2035.00,Magnetic Resonance Imaging Technologists,44.5,43390.0,29-9093.00,Surgical Assistants,30.0,14.5,0.231,6,6,0,Real move
29-1023.00,Orthodontists,43.9,6210.0,29-1024.00,Prosthodontists,29.2,14.7,0.385,4,4,0,Real move
29-2099.01,Neurodiagnostic Technologists,43.8,182610.0,29-9093.00,Surgical Assistants,30.0,13.8,0.227,5,5,0,Real move
29-1211.00,Anesthesiologists,43.4,38760.0,29-9093.00,Surgical Assistants,30.0,13.4,0.314,8,8,0,Real move
29-1229.04,Physical Medicine and Rehabilitation Physicians,43.2,342720.0,29-1022.00,Oral and Maxillofacial Surgeons,29.4,13.8,0.267,3,3,0,Real move
29-2031.00,Cardiovascular Technologists and Technicians,43.2,62960.0,29-9093.00,Surgical Assistants,30.0,13.2,0.333,9,9,0,Real move
29-2061.00,Licensed Practical and Licensed Vocational Nurses,42.9,648410.0,29-9093.00,Surgical Assistants,30.0,12.9,0.364,10,10,0,Real move
29-1124.00,Radiation Therapists,42.5,17070.0,29-9093.00,Surgical Assistants,30.0,12.5,0.327,9,9,0,Real move
29-1141.03,Critical Care Nurses,42.5,3379720.0,29-9093.00,Surgical Assistants,30.0,12.5,0.301,9,9,0,Real move
29-2091.00,Orthotists and Prosthetists,42.5,9390.0,29-1024.00,Prosthodontists,29.2,13.3,0.356,4,4,0,Real move
29-1126.00,Respiratory Therapists,42.1,139790.0,29-9093.00,Surgical Assistants,30.0,12.1,0.37,10,10,0,Real move
29-1292.00,Dental Hygienists,42.1,222740.0,29-9093.00,Surgical Assistants,30.0,12.1,0.149,3,3,0,Real move
