soc_code,soc_title,total_employment,employment_prse,annual_mean_wage,annual_median_wage,hourly_mean_wage,wage_top_coded,release
19-4043,"Geological Technicians, Except Hydrologic Technicians",6980.0,8.3,61870.0,53350.0,29.75,0,May 2025
19-4044,Hydrologic Technicians,2840.0,6.3,69530.0,64790.0,33.43,0,May 2025
19-4051,Nuclear Technicians,6470.0,7.7,108940.0,110240.0,52.37,0,May 2025
19-4061,Social Science Research Assistants,30640.0,1.8,66140.0,61990.0,31.8,0,May 2025
19-4071,Forest and Conservation Technicians,30410.0,1.0,59060.0,54560.0,28.39,0,May 2025
19-4092,Forensic Science Technicians,19120.0,1.0,79200.0,72060.0,38.08,0,May 2025
19-4099,"Life, Physical, and Social Science Technicians, All Other",73910.0,1.5,66280.0,62280.0,31.86,0,May 2025
25-1021,"Computer Science Teachers, Postsecondary",35480.0,0.7,104420.0,96980.0,,0,May 2025
25-1022,"Mathematical Science Teachers, Postsecondary",47670.0,0.3,91550.0,79940.0,,0,May 2025
25-1031,"Architecture Teachers, Postsecondary",7700.0,0.8,101250.0,96870.0,,0,May 2025
25-1032,"Engineering Teachers, Postsecondary",40270.0,0.5,124520.0,109270.0,,0,May 2025
25-1041,"Agricultural Sciences Teachers, Postsecondary",8920.0,2.3,102050.0,98700.0,,0,May 2025
25-1042,"Biological Science Teachers, Postsecondary",50190.0,0.4,102840.0,84620.0,,0,May 2025
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",1520.0,6.5,102450.0,101420.0,,0,May 2025
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",9900.0,0.9,116020.0,103170.0,,0,May 2025
25-1052,"Chemistry Teachers, Postsecondary",19980.0,0.3,105210.0,93250.0,,0,May 2025
25-1053,"Environmental Science Teachers, Postsecondary",6690.0,1.1,103610.0,94980.0,,0,May 2025
25-1054,"Physics Teachers, Postsecondary",13090.0,0.4,111460.0,100310.0,,0,May 2025
25-1061,"Anthropology and Archeology Teachers, Postsecondary",5240.0,0.4,106880.0,99650.0,,0,May 2025
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",11300.0,0.6,98330.0,85020.0,,0,May 2025
25-1063,"Economics Teachers, Postsecondary",11560.0,0.4,138850.0,123920.0,,0,May 2025
25-1064,"Geography Teachers, Postsecondary",3330.0,0.4,102350.0,97590.0,,0,May 2025
25-1065,"Political Science Teachers, Postsecondary",16970.0,0.9,108100.0,98070.0,,0,May 2025
25-1066,"Psychology Teachers, Postsecondary",41530.0,1.3,93860.0,80340.0,,0,May 2025
25-1067,"Sociology Teachers, Postsecondary",11850.0,0.9,96980.0,84290.0,,0,May 2025
25-1071,"Health Specialties Teachers, Postsecondary",221270.0,0.6,147570.0,107310.0,,0,May 2025
25-1072,"Nursing Instructors and Teachers, Postsecondary",77960.0,1.3,86410.0,80250.0,,0,May 2025
29-1011,Chiropractors,39630.0,2.8,90520.0,79200.0,43.52,0,May 2025
29-1021,"Dentists, General",124390.0,2.8,191350.0,170950.0,91.99,0,May 2025
29-1022,Oral and Maxillofacial Surgeons,4910.0,13.8,346490.0,352220.0,166.58,0,May 2025
29-1023,Orthodontists,6210.0,13.5,259400.0,289140.0,124.71,0,May 2025
29-1024,Prosthodontists,870.0,27.6,268630.0,311180.0,129.15,0,May 2025
29-1031,Dietitians and Nutritionists,77570.0,2.1,77130.0,76400.0,37.08,0,May 2025
29-1041,Optometrists,42790.0,2.8,141550.0,136570.0,68.05,0,May 2025
29-1051,Pharmacists,321970.0,0.9,140920.0,140910.0,67.75,0,May 2025
29-1071,Physician Assistants,162150.0,1.4,141280.0,135880.0,67.92,0,May 2025
29-1081,Podiatrists,9680.0,3.8,175480.0,160300.0,84.37,0,May 2025
29-1122,Occupational Therapists,162450.0,1.2,101280.0,100330.0,48.69,0,May 2025
29-1123,Physical Therapists,267330.0,1.0,105280.0,102760.0,50.62,0,May 2025
29-1124,Radiation Therapists,17070.0,7.1,114990.0,105310.0,55.28,0,May 2025
29-1125,Recreational Therapists,14930.0,2.6,67630.0,61960.0,32.52,0,May 2025
29-1126,Respiratory Therapists,139790.0,1.0,87300.0,82280.0,41.97,0,May 2025
29-1127,Speech-Language Pathologists,183390.0,1.2,98170.0,97870.0,47.2,0,May 2025
29-1128,Exercise Physiologists,8560.0,5.4,60940.0,59460.0,29.3,0,May 2025
29-1129,"Therapists, All Other",22640.0,5.5,90420.0,77930.0,43.47,0,May 2025
29-1131,Veterinarians,83900.0,1.3,142680.0,130100.0,68.6,0,May 2025
29-1141,Registered Nurses,3379720.0,0.3,101420.0,97550.0,48.76,0,May 2025
29-1151,Nurse Anesthetists,51840.0,4.5,248320.0,236590.0,119.38,0,May 2025
29-1161,Nurse Midwives,7920.0,5.5,136980.0,134040.0,65.86,0,May 2025
