onet_soc_code,title,description,stem_occupation_types,bright_outlook,job_zone,updated_year,reported_job_titles,n_tasks,n_subtasks,detail_fetched,source_url,fetched_at
11-3021.00,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",Managerial,1,4,2026,Application Development Director; Computing Services Director; Data Processing Manager; Information Systems Director (IS Director); Information Systems Manager (IS Manager); Information Systems Supervisor (IS Supervisor); Information Technology Director (IT Director); Information Technology Manager (IT Manager); MIS Director (Management Information Systems Director); Technical Services Manager,17,24,1,https://www.onetonline.org/link/details/11-3021.00,2026-09-16T20:53:57Z
11-9041.00,Architectural and Engineering Managers,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.",Managerial,0,5,2026,Civil Engineering Manager; Electrical Engineering Manager; Engineering Director; Engineering Group Manager; Engineering Program Manager; Mechanical Engineering Manager; Process Engineering Manager; Project Engineering Manager; Project Manager,19,25,1,https://www.onetonline.org/link/details/11-9041.00,2026-09-16T20:53:59Z
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,"Define, plan, or execute biofuels/biodiesel research programs that evaluate alternative feedstock and process technologies with near-term commercial potential.",Managerial,0,4,2025,Analytical Research Program Manager; Biodiesel Division Manager; Biofuels Manager; Business Development and New Technology Manager; Laboratory Manager (Lab Manager); Project Development Director,18,9,1,https://www.onetonline.org/link/details/11-9041.01,2026-09-16T20:53:59Z
11-9111.00,Medical and Health Services Managers,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.",Managerial,1,4,2026,Cancer Center Director; Clinical Director; Health Information Management Director (HIM Director); Health Information Manager (HIM Manager); Healthcare System Director; Medical Records Director; Medical Records Manager; Mental Health Program Manager; Nurse Manager; Nursing Director,18,27,1,https://www.onetonline.org/link/details/11-9111.00,2026-09-16T20:53:58Z
11-9121.00,Natural Sciences Managers,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields.",Managerial,0,5,2026,Analytical Services Manager; Chemical Engineer Supervisor; Chemical Process Exploration Manager; Environmental Program Manager; Lab Manager (Laboratory Manager); Natural Sciences Manager; Research Administrator; Research and Development Director (R and D Director); Research Manager; Water Team Leader,16,28,1,https://www.onetonline.org/link/details/11-9121.00,2026-09-16T20:54:00Z
11-9121.01,Clinical Research Coordinators,"Plan, direct, or coordinate clinical research projects. Direct the activities of workers engaged in clinical research projects to ensure compliance with protocols and overall clinical objectives. May evaluate and analyze clinical data.",Managerial,0,4,2026,Clinical Coordinator; Clinical Program Coordinator; Clinical Program Manager; Clinical Research Administrator; Clinical Research Coordinator; Clinical Research Manager; Clinical Research Nurse Coordinator; Clinical Trial Coordinator; Clinical Trial Manager; Research Coordinator,33,31,1,https://www.onetonline.org/link/details/11-9121.01,2026-09-16T20:54:01Z
11-9121.02,Water Resource Specialists,"Design or implement programs and strategies related to water resource issues such as supply, quality, and regulatory compliance issues.",Managerial,0,4,2025,Water Resources Planner,21,20,1,https://www.onetonline.org/link/details/11-9121.02,2026-09-16T20:55:15Z
15-1211.00,Computer Systems Analysts,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.","Research, Development, Design, and Practitioners",1,4,2026,Applications Analyst; Business Systems Analyst; Computer Analyst; Computer Systems Analyst; Computer Systems Consultant; Information Systems Analyst (ISA); IT Analyst (Information Technology Analyst); IT Systems Analyst (Information Technology Systems Analyst); Programmer Analyst; Systems Analyst,23,26,1,https://www.onetonline.org/link/details/15-1211.00,2026-09-16T20:55:16Z
15-1211.01,Health Informatics Specialists,"Apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems. May educate staff and assist in problem solving to promote the implementation of the health care system.","Research, Development, Design, and Practitioners",1,5,2026,Clinical Electronic Health Record Nurse (Clinical EHR Nurse); Clinical Informaticist; Clinical Informatics Analyst; Clinical Informatics Nurse; Clinical Informatics Specialist; Health Informaticist; Nursing Informatics Officer; Nursing Informatics Specialist; RN Clinical Information Systems Coordinator (Registered Nurse Clinical Information Systems Coordinator); RN Clinical Information Systems Educator (Registered Nurse Clinical Information Systems Educator),17,19,1,https://www.onetonline.org/link/details/15-1211.01,2026-09-16T20:55:15Z
15-1212.00,Information Security Analysts,"Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. Assess system vulnerabilities for security risks and propose and implement risk mitigation strategies. May ensure appropriate security controls are in place that will safeguard digital files and vital electronic infrastructure. May respond to computer security breaches and viruses.","Research, Development, Design, and Practitioners",1,4,2026,Information Security Officer; Information Security Specialist; Information Systems Security Analyst; Information Systems Security Officer (ISSO); Information Technology Security Analyst (IT Security Analyst); Network Security Analyst; Security Analyst; Systems Analyst,11,10,1,https://www.onetonline.org/link/details/15-1212.00,2026-09-16T20:55:17Z
15-1221.00,Computer and Information Research Scientists,"Conduct research into fundamental computer and information science as theorists, designers, or inventors. Develop solutions to problems in the field of computer hardware and software.","Research, Development, Design, and Practitioners",1,5,2026,Computer Scientist; Computer Specialist; Control System Computer Scientist; Research Scientist; Scientific Programmer Analyst,15,18,1,https://www.onetonline.org/link/details/15-1221.00,2026-09-16T20:55:17Z
15-1231.00,Computer Network Support Specialists,"Analyze, test, troubleshoot, and evaluate existing network systems, such as local area networks (LAN), wide area networks (WAN), cloud networks, servers, and other data communications networks. Perform network maintenance to ensure networks operate correctly with minimal interruption.",Technologists and Technicians,0,4,2026,Computer Network Specialist; IT Consultant (Information Technology Consultant); Network Specialist; Network Support Specialist; Network Technical Analyst; Network Technician; Personal Computer Network Analyst; Systems Specialist,26,22,1,https://www.onetonline.org/link/details/15-1231.00,2026-09-16T20:55:18Z
