onet_soc_code,title,scenario,tasks,automated,augmented,unchanged,new_tasks,share_automated,reshaped,total_employment,has_destination
29-1213.00,Dermatologists,extreme,18,11,4,3,0,0.611,1,11370.0,1
29-1241.00,"Ophthalmologists, Except Pediatric",extreme,18,11,4,3,0,0.611,1,8950.0,1
17-3025.00,Environmental Engineering Technologists and Technicians,extreme,23,14,3,6,0,0.609,1,12190.0,0
19-3033.00,Clinical and Counseling Psychologists,extreme,30,18,12,0,0,0.6,1,75990.0,0
17-2199.09,Nanosystems Engineers,extreme,25,15,8,2,0,0.6,1,154070.0,0
29-1299.01,Naturopathic Physicians,extreme,20,12,2,6,0,0.6,1,28630.0,1
29-1218.00,Obstetricians and Gynecologists,extreme,15,9,4,2,0,0.6,1,21260.0,1
29-1141.01,Acute Care Nurses,extreme,27,16,4,7,0,0.593,1,3379720.0,1
17-2071.00,Electrical Engineers,extreme,22,13,7,2,0,0.591,1,198750.0,0
29-1221.00,"Pediatricians, General",extreme,17,10,5,2,0,0.588,1,39390.0,1
29-1214.00,Emergency Medicine Physicians,extreme,17,10,4,3,2,0.588,1,32880.0,1
29-2036.00,Medical Dosimetrists,extreme,19,11,1,7,0,0.579,1,3410.0,1
29-1216.00,General Internal Medicine Physicians,extreme,19,11,6,2,0,0.579,1,67150.0,1
17-2112.02,Validation Engineers,extreme,21,12,7,2,0,0.571,1,365740.0,0
17-3028.00,Calibration Technologists and Technicians,extreme,14,8,0,6,0,0.571,1,16540.0,0
17-1022.01,Geodetic Surveyors,extreme,16,9,4,3,1,0.562,1,50830.0,0
29-1299.02,Orthoptists,extreme,16,9,3,4,0,0.562,1,28630.0,0
29-1128.00,Exercise Physiologists,extreme,25,14,4,7,3,0.56,1,8560.0,1
29-1081.00,Podiatrists,extreme,11,6,2,3,0,0.545,1,9680.0,0
29-1141.02,Advanced Practice Psychiatric Nurses,extreme,24,13,7,4,1,0.542,1,3379720.0,1
29-9099.01,Midwives,extreme,36,19,3,14,1,0.528,1,35010.0,1
29-1222.00,"Physicians, Pathologists",extreme,19,10,8,1,0,0.526,1,11110.0,1
29-2052.00,Pharmacy Technicians,extreme,21,11,4,6,0,0.524,1,471680.0,1
29-1212.00,Cardiologists,extreme,25,13,5,7,0,0.52,1,17290.0,0
29-1141.00,Registered Nurses,extreme,27,14,6,7,0,0.519,1,3379720.0,1
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,extreme,28,14,4,10,1,0.5,1,15520.0,0
17-3027.01,Automotive Engineering Technicians,extreme,18,9,2,7,0,0.5,1,36190.0,0
19-1022.00,Microbiologists,extreme,14,7,5,2,1,0.5,1,18940.0,0
19-3039.02,Neuropsychologists,extreme,14,7,6,1,0,0.5,1,18820.0,0
29-2011.01,Cytogenetic Technologists,extreme,30,15,4,11,0,0.5,1,332940.0,1
17-1021.00,Cartographers and Photogrammetrists,extreme,14,7,2,5,2,0.5,1,14260.0,0
