onet_soc_code,title,susceptibility,tasks_first,tasks_last,added,retired,turnover_rate,net_change,last_reviewed
17-2199.11,Solar Energy Systems Engineers,59.8,13,13,0,0,0.0,0,2023
17-2199.10,Wind Energy Engineers,59.6,16,16,0,0,0.0,0,2012
19-1012.00,Food Scientists and Technologists,59.1,13,13,0,0,0.0,0,2025
17-2021.00,Agricultural Engineers,58.2,14,14,0,0,0.0,0,2024
17-2171.00,Petroleum Engineers,58.1,23,23,0,0,0.0,0,2020
17-3027.01,Automotive Engineering Technicians,57.6,18,18,0,0,0.0,0,2016
17-1021.00,Cartographers and Photogrammetrists,56.8,14,14,0,0,0.0,0,2018
29-1171.00,Nurse Practitioners,54.3,27,27,0,0,0.0,0,2021
29-1123.00,Physical Therapists,53.5,24,24,0,0,0.0,0,2020
17-3029.01,Non-Destructive Testing Specialists,53.2,16,16,0,0,0.0,0,2023
19-1022.00,Microbiologists,52.7,14,14,0,0,0.0,0,2024
19-1032.00,Foresters,52.7,25,25,0,0,0.0,0,2026
19-4031.00,Chemical Technicians,52.7,16,16,0,0,0.0,0,2021
29-1181.00,Audiologists,52.2,22,22,0,0,0.0,0,2021
29-1071.00,Physician Assistants,51.7,12,12,0,0,0.0,0,2021
29-1122.00,Occupational Therapists,51.6,17,17,0,0,0.0,0,2021
29-1141.02,Advanced Practice Psychiatric Nurses,51.5,24,24,0,0,0.0,0,2023
29-2011.01,Cytogenetic Technologists,51.4,30,30,0,0,0.0,0,2026
29-1128.00,Exercise Physiologists,50.7,25,25,0,0,0.0,0,2026
29-1141.01,Acute Care Nurses,49.8,27,27,0,0,0.0,0,2025
29-2033.00,Nuclear Medicine Technologists,49.6,17,17,0,0,0.0,0,2013
29-2081.00,"Opticians, Dispensing",49.0,21,21,0,0,0.0,0,2022
29-1081.00,Podiatrists,48.5,11,11,0,0,0.0,0,2022
29-1041.00,Optometrists,47.2,10,10,0,0,0.0,0,2021
29-2099.01,Neurodiagnostic Technologists,46.2,16,16,0,0,0.0,0,2022
29-1141.03,Critical Care Nurses,45.2,29,29,0,0,0.0,0,2021
29-1151.00,Nurse Anesthetists,43.5,24,24,0,0,0.0,0,2021
29-1124.00,Radiation Therapists,43.3,22,22,0,0,0.0,0,2013
29-2091.00,Orthotists and Prosthetists,43.3,15,15,0,0,0.0,0,2024
29-2053.00,Psychiatric Technicians,42.2,16,16,0,0,0.0,0,2023
29-2056.00,Veterinary Technologists and Technicians,39.2,31,31,0,0,0.0,0,2020
29-2057.00,Ophthalmic Medical Technicians,38.6,20,20,0,0,0.0,0,2020
29-1021.00,"Dentists, General",37.4,20,20,0,0,0.0,0,2026
29-1071.01,Anesthesiologist Assistants,37.4,16,16,0,0,0.0,0,2026
