decile,workers,mean_wage,susceptibility,exposure,anchoring,wage_bill_usd
1,2152310,53942,51.8,52.2,48.5,116100603800
2,2152310,68314,55.6,54.7,43.5,147032791300
3,2152310,88942,55.3,59.3,48.7,191430344600
4,2152310,101235,51.5,61.0,57.9,217889226200
5,2152310,102001,54.4,63.2,54.3,219538146300
6,2152310,109854,63.3,69.8,43.3,236439729200
7,2152310,120629,69.0,75.2,37.3,259631932400
8,2152310,138293,60.2,67.1,46.8,297650356900
9,2152310,147404,68.0,74.4,38.4,317259669700
10,2152310,221273,57.6,66.3,51.1,476248922900
