onet_soc_code,title,susceptibility,total_employment,destination_code,destination,destination_susceptibility,relief,overlap,shared_activities,shared_protected,carries_exposure,verdict
29-1215.00,Family Medicine Physicians,53.0,107510.0,29-1071.01,Anesthesiologist Assistants,35.8,17.2,0.229,4,4,0,Real move
29-1217.00,Neurologists,52.8,10590.0,29-2043.00,Paramedics,38.7,14.1,0.334,6,5,1,Real move
29-1141.04,Clinical Nurse Specialists,52.6,3379720.0,29-1022.00,Oral and Maxillofacial Surgeons,29.8,22.8,0.257,4,4,0,Real move
29-1123.00,Physical Therapists,52.3,267330.0,29-1021.00,"Dentists, General",36.5,15.8,0.309,7,7,0,Real move
29-1129.02,Music Therapists,52.1,22640.0,29-1022.00,Oral and Maxillofacial Surgeons,29.8,22.3,0.262,4,4,0,Real move
29-1127.00,Speech-Language Pathologists,51.8,183390.0,29-2043.00,Paramedics,38.7,13.1,0.262,5,4,1,Real move
29-1181.00,Audiologists,51.3,13660.0,29-2043.00,Paramedics,38.7,12.6,0.315,6,5,1,Real move
29-2036.00,Medical Dosimetrists,51.3,3410.0,29-2099.05,Ophthalmic Medical Technologists,39.2,12.1,0.235,6,5,1,Real move
29-1125.00,Recreational Therapists,51.0,14930.0,29-2043.00,Paramedics,38.7,12.3,0.296,4,4,0,Real move
29-1299.01,Naturopathic Physicians,50.7,28630.0,29-1022.00,Oral and Maxillofacial Surgeons,29.8,20.9,0.218,3,3,0,Real move
29-2011.01,Cytogenetic Technologists,50.7,332940.0,29-2012.01,Histology Technicians,34.6,16.1,0.4,4,4,0,Real move
29-1213.00,Dermatologists,50.5,11370.0,29-1022.00,Oral and Maxillofacial Surgeons,29.8,20.7,0.267,3,3,0,Real move
29-1011.00,Chiropractors,50.4,39630.0,29-2057.00,Ophthalmic Medical Technicians,36.7,13.7,0.179,3,3,0,Real move
29-1216.00,General Internal Medicine Physicians,50.4,67150.0,29-1022.00,Oral and Maxillofacial Surgeons,29.8,20.6,0.213,3,3,0,Real move
29-1122.00,Occupational Therapists,50.3,162450.0,29-1022.00,Oral and Maxillofacial Surgeons,29.8,20.5,0.213,3,3,0,Real move
29-1141.02,Advanced Practice Psychiatric Nurses,50.2,3379720.0,29-1022.00,Oral and Maxillofacial Surgeons,29.8,20.4,0.213,3,3,0,Real move
29-9091.00,Athletic Trainers,49.9,30500.0,29-1022.00,Oral and Maxillofacial Surgeons,29.8,20.1,0.196,3,3,0,Real move
29-1128.00,Exercise Physiologists,49.5,8560.0,29-2057.00,Ophthalmic Medical Technicians,36.7,12.8,0.214,4,4,0,Real move
29-1071.00,Physician Assistants,49.4,162150.0,29-9093.00,Surgical Assistants,30.5,18.9,0.149,3,3,0,Real move
