onet_soc_code,title,stem_occupation_types,job_zone,n_tasks_scored,susceptibility,exposure,anchoring,deployment_gap,share_tasks_high_susceptibility,share_largely_automatable,share_human_anchored,quadrant
29-1299.01,Naturopathic Physicians,"Research, Development, Design, and Practitioners",5,20,52.5,61.1,56.1,38.8,0.3,0.05,0.5,Human-anchored
29-1011.00,Chiropractors,"Research, Development, Design, and Practitioners",5,13,52.3,61.1,56.4,32.0,0.077,0.154,0.538,Human-anchored
29-1181.00,Audiologists,"Research, Development, Design, and Practitioners",5,22,52.2,62.9,58.5,40.0,0.182,0.0,0.545,Human-anchored
29-1213.00,Dermatologists,"Research, Development, Design, and Practitioners",5,18,51.9,64.9,61.0,47.8,0.111,0.0,0.722,Human-anchored
19-3039.03,Clinical Neuropsychologists,"Research, Development, Design, and Practitioners",5,18,51.7,62.6,59.2,44.9,0.056,0.0,0.778,Human-anchored
29-1071.00,Physician Assistants,"Research, Development, Design, and Practitioners",5,12,51.7,61.9,58.4,38.7,0.083,0.083,0.667,Human-anchored
17-3024.01,Robotics Technicians,Technologists and Technicians,3,22,51.6,44.6,41.5,8.4,0.091,0.045,0.091,Insulated
19-4013.00,Food Science Technicians,Technologists and Technicians,3,16,51.6,44.9,41.8,-0.4,0.0,0.188,0.0,Insulated
29-1122.00,Occupational Therapists,"Research, Development, Design, and Practitioners",5,17,51.6,61.0,57.7,38.3,0.059,0.0,0.471,Human-anchored
29-1141.02,Advanced Practice Psychiatric Nurses,"Research, Development, Design, and Practitioners",5,24,51.5,63.4,60.3,44.4,0.083,0.0,0.708,Human-anchored
29-1216.00,General Internal Medicine Physicians,"Research, Development, Design, and Practitioners",5,19,51.5,64.6,61.6,45.6,0.053,0.0,0.684,Human-anchored
29-1299.02,Orthoptists,"Research, Development, Design, and Practitioners",5,16,51.5,62.1,59.1,38.4,0.062,0.0,0.5,Human-anchored
29-2011.01,Cytogenetic Technologists,Technologists and Technicians,4,30,51.4,50.8,48.0,11.1,0.133,0.0,0.3,Human-anchored
29-1128.00,Exercise Physiologists,"Research, Development, Design, and Practitioners",4,25,50.7,58.3,56.8,31.3,0.08,0.0,0.44,Human-anchored
29-1161.00,Nurse Midwives,"Research, Development, Design, and Practitioners",5,21,50.5,61.7,60.8,40.3,0.143,0.0,0.571,Human-anchored
17-3029.08,Photonics Technicians,Technologists and Technicians,3,24,50.4,40.6,39.8,2.6,0.167,0.0,0.042,Insulated
29-2032.00,Diagnostic Medical Sonographers,Technologists and Technicians,3,19,50.3,52.5,51.8,16.2,0.158,0.053,0.263,Human-anchored
29-9091.00,Athletic Trainers,"Research, Development, Design, and Practitioners",5,23,50.2,54.2,53.7,26.0,0.174,0.0,0.348,Human-anchored
19-4012.00,Agricultural Technicians,Technologists and Technicians,3,26,50.1,41.7,41.5,4.0,0.231,0.077,0.0,Insulated
29-1241.00,"Ophthalmologists, Except Pediatric","Research, Development, Design, and Practitioners",5,18,50.0,61.7,61.7,41.4,0.056,0.0,0.611,Human-anchored
19-4071.00,Forest and Conservation Technicians,Technologists and Technicians,3,20,49.9,46.2,46.4,14.1,0.1,0.05,0.2,Human-anchored
29-1218.00,Obstetricians and Gynecologists,"Research, Development, Design, and Practitioners",5,15,49.9,61.6,61.9,41.8,0.067,0.0,0.6,Human-anchored
29-1141.01,Acute Care Nurses,"Research, Development, Design, and Practitioners",4,27,49.8,60.5,61.0,39.6,0.148,0.074,0.667,Human-anchored
29-1221.00,"Pediatricians, General","Research, Development, Design, and Practitioners",5,17,49.8,61.6,62.1,44.3,0.059,0.0,0.588,Human-anchored
29-2033.00,Nuclear Medicine Technologists,Technologists and Technicians,3,17,49.6,49.0,49.7,10.9,0.176,0.176,0.412,Human-anchored
19-4051.02,Nuclear Monitoring Technicians,Technologists and Technicians,3,16,49.0,42.5,44.4,-0.0,0.125,0.188,0.188,Human-anchored
29-2081.00,"Opticians, Dispensing",Technologists and Technicians,3,21,49.0,49.5,51.5,16.7,0.19,0.048,0.19,Human-anchored
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists","Research, Development, Design, and Practitioners",5,21,48.9,59.8,62.0,42.3,0.143,0.0,0.714,Human-anchored
29-1141.00,Registered Nurses,"Research, Development, Design, and Practitioners",4,27,48.7,56.7,59.2,33.9,0.074,0.0,0.519,Human-anchored
29-1081.00,Podiatrists,"Research, Development, Design, and Practitioners",5,11,48.5,58.0,61.1,38.3,0.091,0.0,0.545,Human-anchored
29-1131.00,Veterinarians,"Research, Development, Design, and Practitioners",5,21,48.3,54.8,58.2,37.8,0.143,0.0,0.524,Human-anchored
29-1212.00,Cardiologists,"Research, Development, Design, and Practitioners",5,25,48.2,57.9,61.6,35.2,0.04,0.04,0.64,Human-anchored
29-1214.00,Emergency Medicine Physicians,"Research, Development, Design, and Practitioners",5,17,48.1,60.6,64.3,41.8,0.0,0.0,0.882,Human-anchored
29-1242.00,"Orthopedic Surgeons, Except Pediatric","Research, Development, Design, and Practitioners",5,15,48.1,56.4,60.1,35.0,0.067,0.067,0.667,Human-anchored
29-2011.02,Cytotechnologists,Technologists and Technicians,5,13,48.1,47.3,51.1,9.8,0.077,0.0,0.231,Human-anchored
19-4051.00,Nuclear Technicians,Technologists and Technicians,3,18,47.4,42.7,47.8,9.6,0.056,0.0,0.167,Human-anchored
29-1041.00,Optometrists,"Research, Development, Design, and Practitioners",5,10,47.2,58.4,64.0,39.8,0.0,0.0,0.7,Human-anchored
29-2012.00,Medical and Clinical Laboratory Technicians,Technologists and Technicians,3,14,47.2,43.5,49.0,3.6,0.0,0.0,0.071,Human-anchored
29-1229.03,Urologists,"Research, Development, Design, and Practitioners",5,14,46.9,57.0,63.1,40.2,0.071,0.0,0.643,Human-anchored
29-2011.00,Medical and Clinical Laboratory Technologists,Technologists and Technicians,4,15,46.9,45.4,51.5,10.4,0.067,0.0,0.333,Human-anchored
29-1243.00,Pediatric Surgeons,"Research, Development, Design, and Practitioners",5,18,46.6,54.9,61.7,33.7,0.056,0.056,0.722,Human-anchored
29-2034.00,Radiologic Technologists and Technicians,Technologists and Technicians,3,30,46.6,47.9,54.7,18.6,0.167,0.067,0.467,Human-anchored
29-2035.00,Magnetic Resonance Imaging Technologists,Technologists and Technicians,3,24,46.5,46.4,53.4,16.4,0.083,0.125,0.333,Human-anchored
29-9099.01,Midwives,"Research, Development, Design, and Practitioners; Technologists and Technicians",5,36,46.4,55.1,62.3,33.8,0.111,0.0,0.667,Human-anchored
29-1229.04,Physical Medicine and Rehabilitation Physicians,"Research, Development, Design, and Practitioners",5,15,46.3,58.6,66.0,41.0,0.067,0.0,0.867,Human-anchored
19-4092.00,Forensic Science Technicians,Technologists and Technicians,3,24,46.2,46.7,54.4,19.0,0.125,0.0,0.667,Human-anchored
29-2099.01,Neurodiagnostic Technologists,Technologists and Technicians,3,16,46.2,50.7,58.3,23.5,0.062,0.0,0.5,Human-anchored
29-1023.00,Orthodontists,"Research, Development, Design, and Practitioners",5,11,46.0,53.0,61.1,31.4,0.091,0.0,0.818,Human-anchored
29-1211.00,Anesthesiologists,"Research, Development, Design, and Practitioners",5,20,45.7,54.1,62.7,33.7,0.05,0.05,0.7,Human-anchored
29-1292.00,Dental Hygienists,"Research, Development, Design, and Practitioners",3,16,45.3,46.5,55.8,17.3,0.188,0.125,0.562,Human-anchored
29-1141.03,Critical Care Nurses,"Research, Development, Design, and Practitioners",4,29,45.2,51.5,61.0,29.0,0.103,0.0,0.655,Human-anchored
29-2031.00,Cardiovascular Technologists and Technicians,Technologists and Technicians,3,21,44.8,46.0,56.4,15.3,0.143,0.095,0.476,Human-anchored
29-2061.00,Licensed Practical and Licensed Vocational Nurses,Technologists and Technicians,3,22,44.5,43.6,54.7,13.7,0.136,0.045,0.409,Human-anchored
29-1126.00,Respiratory Therapists,"Research, Development, Design, and Practitioners",3,23,44.1,48.8,60.4,26.6,0.087,0.0,0.652,Human-anchored
29-1151.00,Nurse Anesthetists,"Research, Development, Design, and Practitioners",5,24,43.5,46.7,59.7,25.9,0.125,0.083,0.667,Human-anchored
29-1124.00,Radiation Therapists,"Research, Development, Design, and Practitioners",3,22,43.3,43.6,57.0,16.1,0.091,0.136,0.591,Human-anchored
29-2091.00,Orthotists and Prosthetists,Technologists and Technicians,5,15,43.3,44.9,58.2,20.6,0.133,0.0,0.333,Human-anchored
29-2011.04,Histotechnologists,Technologists and Technicians,4,16,42.7,34.1,48.7,-6.1,0.062,0.0,0.188,Human-anchored
29-2053.00,Psychiatric Technicians,Technologists and Technicians,3,16,42.2,45.4,61.1,26.3,0.062,0.0,0.562,Human-anchored
29-1291.00,Acupuncturists,"Research, Development, Design, and Practitioners",5,18,41.7,49.4,65.9,32.9,0.056,0.0,0.778,Human-anchored
29-2099.05,Ophthalmic Medical Technologists,Technologists and Technicians,3,31,41.7,39.0,55.6,1.1,0.032,0.032,0.226,Human-anchored
29-2042.00,Emergency Medical Technicians,Technologists and Technicians,3,12,41.0,43.4,61.4,23.4,0.083,0.0,0.5,Human-anchored
29-2043.00,Paramedics,Technologists and Technicians,3,13,40.1,47.9,67.6,34.8,0.077,0.0,0.769,Human-anchored
29-2056.00,Veterinary Technologists and Technicians,Technologists and Technicians,3,31,39.2,35.8,57.3,10.5,0.097,0.065,0.548,Human-anchored
29-2055.00,Surgical Technologists,Technologists and Technicians,3,18,38.9,32.3,54.5,1.6,0.167,0.167,0.5,Human-anchored
29-2057.00,Ophthalmic Medical Technicians,Technologists and Technicians,3,20,38.6,34.4,57.2,-0.5,0.0,0.0,0.25,Human-anchored
29-1021.00,"Dentists, General","Research, Development, Design, and Practitioners",5,20,37.4,41.4,66.5,28.6,0.05,0.0,0.85,Human-anchored
29-1071.01,Anesthesiologist Assistants,"Research, Development, Design, and Practitioners",5,16,37.4,38.2,63.4,19.9,0.125,0.0,0.75,Human-anchored
29-2092.00,Hearing Aid Specialists,Technologists and Technicians,3,11,37.4,37.5,62.6,17.4,0.091,0.0,0.545,Human-anchored
29-2012.01,Histology Technicians,Technologists and Technicians,3,8,35.8,21.1,49.5,-15.1,0.0,0.0,0.125,Human-anchored
29-9093.00,Surgical Assistants,"Research, Development, Design, and Practitioners",3,28,30.9,27.3,65.5,10.3,0.0,0.036,0.821,Human-anchored
29-1022.00,Oral and Maxillofacial Surgeons,"Research, Development, Design, and Practitioners",5,15,30.4,37.3,76.4,29.4,0.0,0.0,1.0,Human-anchored
29-1024.00,Prosthodontists,"Research, Development, Design, and Practitioners",5,12,30.3,28.6,67.9,14.6,0.0,0.0,0.917,Human-anchored
