onet_soc_code,title,stem_occupation_types,job_zone,n_tasks_scored,susceptibility,exposure,anchoring,deployment_gap,share_tasks_high_susceptibility,share_largely_automatable,share_human_anchored,quadrant
25-1067.00,"Sociology Teachers, Postsecondary",Postsecondary Teaching,5,24,67.7,75.3,39.8,39.7,0.458,0.083,0.167,Displaceable
25-1071.00,"Health Specialties Teachers, Postsecondary",Postsecondary Teaching,5,22,67.6,74.7,39.6,38.6,0.545,0.091,0.182,Displaceable
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",Postsecondary Teaching,5,27,67.4,75.1,40.4,40.9,0.481,0.074,0.185,Displaceable
25-1042.00,"Biological Science Teachers, Postsecondary",Postsecondary Teaching,5,27,67.2,74.3,39.9,39.6,0.481,0.074,0.148,Displaceable
25-1054.00,"Physics Teachers, Postsecondary",Postsecondary Teaching,5,24,67.1,73.7,39.7,38.2,0.5,0.083,0.167,Displaceable
19-2021.00,Atmospheric and Space Scientists,"Research, Development, Design, and Practitioners",4,27,66.7,72.9,39.5,38.0,0.593,0.037,0.037,Displaceable
19-2012.00,Physicists,"Research, Development, Design, and Practitioners",5,16,66.6,73.5,40.3,42.8,0.5,0.0,0.062,Displaceable
19-3011.00,Economists,"Research, Development, Design, and Practitioners",5,14,66.6,76.4,43.2,45.7,0.429,0.0,0.286,Displaceable
19-3022.00,Survey Researchers,"Research, Development, Design, and Practitioners",5,16,66.6,73.9,40.8,37.8,0.438,0.125,0.062,Displaceable
25-1021.00,"Computer Science Teachers, Postsecondary",Postsecondary Teaching,5,26,66.6,74.4,41.3,40.3,0.462,0.038,0.192,Displaceable
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,30,66.5,74.8,41.7,44.5,0.333,0.1,0.1,Displaceable
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",Postsecondary Teaching,5,29,66.5,74.5,41.6,41.5,0.483,0.069,0.172,Displaceable
11-9121.01,Clinical Research Coordinators,Managerial,4,33,66.3,72.1,39.5,31.8,0.424,0.212,0.091,Displaceable
25-1066.00,"Psychology Teachers, Postsecondary",Postsecondary Teaching,5,29,66.3,74.0,41.4,40.2,0.483,0.069,0.241,Displaceable
19-3051.00,Urban and Regional Planners,"Research, Development, Design, and Practitioners",5,25,66.2,75.3,42.9,43.0,0.28,0.12,0.12,Displaceable
11-3021.00,Computer and Information Systems Managers,Managerial,4,17,65.9,74.4,42.6,43.7,0.412,0.118,0.118,Displaceable
25-1052.00,"Chemistry Teachers, Postsecondary",Postsecondary Teaching,5,28,65.9,72.2,40.6,37.2,0.464,0.071,0.214,Displaceable
29-9021.00,Health Information Technologists and Medical Registrars,"Research, Development, Design, and Practitioners; Technologists and Technicians",3,16,65.8,72.4,40.7,33.3,0.562,0.188,0.25,Displaceable
15-1299.05,Information Security Engineers,"Research, Development, Design, and Practitioners; Technologists and Technicians",4,20,65.7,73.4,41.9,38.7,0.5,0.1,0.05,Displaceable
15-1299.09,Information Technology Project Managers,"Research, Development, Design, and Practitioners; Technologists and Technicians",4,21,65.6,72.4,41.1,40.4,0.429,0.095,0.19,Displaceable
17-2199.03,"Energy Engineers, Except Wind and Solar","Research, Development, Design, and Practitioners",4,21,65.6,70.1,38.8,28.6,0.429,0.238,0.0,Displaceable
19-4012.01,Precision Agriculture Technicians,Technologists and Technicians,3,22,65.6,67.3,36.0,25.8,0.455,0.182,0.0,Displaceable
15-1221.00,Computer and Information Research Scientists,"Research, Development, Design, and Practitioners",5,15,65.4,73.4,42.5,41.2,0.267,0.2,0.067,Displaceable
17-2112.00,Industrial Engineers,"Research, Development, Design, and Practitioners",4,20,65.2,70.7,40.3,36.2,0.3,0.1,0.05,Displaceable
19-1011.00,Animal Scientists,"Research, Development, Design, and Practitioners",5,9,65.1,71.4,41.2,43.1,0.111,0.0,0.0,Displaceable
19-4099.03,Remote Sensing Technicians,Technologists and Technicians,4,21,65.0,64.3,34.3,22.4,0.476,0.143,0.0,Insulated
19-3041.00,Sociologists,"Research, Development, Design, and Practitioners",5,15,64.6,74.2,45.0,45.0,0.267,0.0,0.267,Contested
17-2072.00,"Electronics Engineers, Except Computer","Research, Development, Design, and Practitioners",4,20,64.3,67.8,39.3,30.1,0.4,0.2,0.0,Displaceable
17-2061.00,Computer Hardware Engineers,"Research, Development, Design, and Practitioners",4,18,64.2,68.7,40.4,34.1,0.333,0.0,0.056,Displaceable
19-2099.01,Remote Sensing Scientists and Technologists,"Research, Development, Design, and Practitioners",4,24,63.8,66.8,39.2,31.1,0.333,0.125,0.0,Displaceable
17-3011.00,Architectural and Civil Drafters,Technologists and Technicians,3,26,63.7,62.0,34.6,21.0,0.308,0.038,0.038,Insulated
17-1012.00,Landscape Architects,"Research, Development, Design, and Practitioners",4,19,63.5,68.3,41.3,36.3,0.211,0.053,0.158,Displaceable
17-2199.07,Photonics Engineers,"Research, Development, Design, and Practitioners",4,26,63.5,66.4,39.5,33.1,0.346,0.038,0.0,Displaceable
17-2111.02,Fire-Prevention and Protection Engineers,"Research, Development, Design, and Practitioners",4,14,63.4,72.3,45.5,42.1,0.357,0.0,0.143,Contested
19-1029.04,Biologists,"Research, Development, Design, and Practitioners",5,22,63.4,70.2,43.4,40.5,0.364,0.045,0.136,Displaceable
17-3022.00,Civil Engineering Technologists and Technicians,Technologists and Technicians,3,14,63.3,65.8,39.3,25.8,0.429,0.071,0.071,Displaceable
19-2041.00,"Environmental Scientists and Specialists, Including Health","Research, Development, Design, and Practitioners",4,22,63.3,73.4,46.7,44.7,0.227,0.045,0.045,Contested
19-3032.00,Industrial-Organizational Psychologists,"Research, Development, Design, and Practitioners",5,25,63.3,72.6,46.1,43.9,0.28,0.0,0.24,Contested
17-2112.03,Manufacturing Engineers,"Research, Development, Design, and Practitioners",4,24,63.2,69.3,42.8,38.1,0.25,0.042,0.042,Displaceable
19-2011.00,Astronomers,"Research, Development, Design, and Practitioners",5,17,63.2,69.7,43.2,38.5,0.471,0.0,0.294,Displaceable
