soc_code,soc_title,n_onet_occupations,onet_codes,total_employment,annual_mean_wage,annual_median_wage,susceptibility,susceptibility_sd_within_soc,exposure,anchoring,deployment_gap,quadrant,wage_bill_usd,stem_occupation_types
19-4013,Food Science Technicians,1,19-4013.00,14600.0,56660.0,52130.0,50.4,0.0,40.4,39.7,-6.1,Insulated,827236000,Technologists and Technicians
17-1021,Cartographers and Photogrammetrists,1,17-1021.00,14260.0,86690.0,81390.0,57.5,0.0,46.3,31.2,-6.4,Insulated,1236199400,Technologists and Technicians
29-1242,"Orthopedic Surgeons, Except Pediatric",1,29-1242.00,14100.0,373570.0,358550.0,47.4,0.0,52.8,58.0,31.2,Human-anchored,5267337000,"Research, Development, Design, and Practitioners"
29-1181,Audiologists,1,29-1181.00,13660.0,97740.0,95780.0,51.3,0.0,58.6,56.0,36.1,Human-anchored,1335128400,"Research, Development, Design, and Practitioners"
25-1054,"Physics Teachers, Postsecondary",1,25-1054.00,13090.0,111460.0,100310.0,65.7,0.0,68.7,37.3,35.0,Displaceable,1459011400,Postsecondary Teaching
19-1012,Food Scientists and Technologists,1,19-1012.00,13060.0,95360.0,88720.0,57.7,0.0,59.1,43.7,29.2,Human-anchored,1245401600,"Research, Development, Design, and Practitioners"
17-3025,Environmental Engineering Technologists and Technicians,1,17-3025.00,12190.0,64870.0,59920.0,55.9,0.0,52.2,40.5,12.9,Insulated,790765300,Technologists and Technicians
19-1041,Epidemiologists,1,19-1041.00,12090.0,97890.0,87220.0,60.9,0.0,67.8,45.9,43.7,Contested,1183490100,"Research, Development, Design, and Practitioners"
25-1067,"Sociology Teachers, Postsecondary",1,25-1067.00,11850.0,96980.0,84290.0,66.6,0.0,70.4,37.1,36.6,Displaceable,1149213000,Postsecondary Teaching
25-1063,"Economics Teachers, Postsecondary",1,25-1063.00,11560.0,138850.0,123920.0,67.9,0.0,71.7,35.9,36.4,Displaceable,1605106000,Postsecondary Teaching
29-1213,Dermatologists,1,29-1213.00,11370.0,323530.0,328730.0,50.5,0.0,60.3,59.4,43.1,Human-anchored,3678536100,"Research, Development, Design, and Practitioners"
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1,25-1062.00,11300.0,98330.0,85020.0,67.3,0.0,71.2,36.6,36.9,Displaceable,1111129000,Postsecondary Teaching
17-3021,Aerospace Engineering and Operations Technologists and Technicians,1,17-3021.00,11280.0,91310.0,82890.0,53.6,0.0,46.4,39.2,6.7,Insulated,1029976800,Technologists and Technicians
29-2092,Hearing Aid Specialists,1,29-2092.00,11270.0,66370.0,65160.0,38.7,0.0,36.1,58.8,14.4,Human-anchored,747989900,Technologists and Technicians
29-1222,"Physicians, Pathologists",1,29-1222.00,11110.0,285420.0,312400.0,53.1,0.0,58.1,51.9,30.9,Human-anchored,3171016200,"Research, Development, Design, and Practitioners"
29-1217,Neurologists,1,29-1217.00,10590.0,267630.0,248560.0,52.8,0.0,63.7,58.1,44.0,Contested,2834201700,"Research, Development, Design, and Practitioners"
19-1032,Foresters,1,19-1032.00,10430.0,79170.0,76400.0,53.1,0.0,54.6,48.4,30.3,Human-anchored,825743100,"Research, Development, Design, and Practitioners"
19-2021,Atmospheric and Space Scientists,1,19-2021.00,10000.0,106110.0,99070.0,65.4,0.0,68.8,37.9,34.2,Displaceable,1061100000,"Research, Development, Design, and Practitioners"
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",1,25-1051.00,9900.0,116020.0,103170.0,67.3,0.0,70.8,36.2,35.3,Displaceable,1148598000,Postsecondary Teaching
29-1081,Podiatrists,1,29-1081.00,9680.0,175480.0,160300.0,48.8,0.0,55.3,57.7,33.9,Human-anchored,1698646400,"Research, Development, Design, and Practitioners"
29-2091,Orthotists and Prosthetists,1,29-2091.00,9390.0,83740.0,81110.0,42.9,0.0,42.8,57.0,20.3,Human-anchored,786318600,Technologists and Technicians
19-3091,Anthropologists and Archeologists,1,19-3091.00,8990.0,75620.0,70770.0,57.5,0.0,59.9,44.9,32.8,Human-anchored,679823800,"Research, Development, Design, and Practitioners"
29-1241,"Ophthalmologists, Except Pediatric",1,29-1241.00,8950.0,304650.0,300080.0,47.9,0.0,56.1,60.3,37.4,Human-anchored,2726617500,"Research, Development, Design, and Practitioners"
25-1041,"Agricultural Sciences Teachers, Postsecondary",1,25-1041.00,8920.0,102050.0,98700.0,66.5,0.0,70.3,37.4,36.8,Displaceable,910286000,Postsecondary Teaching
29-1128,Exercise Physiologists,1,29-1128.00,8560.0,60940.0,59460.0,49.5,0.0,53.7,54.8,28.5,Human-anchored,521646400,"Research, Development, Design, and Practitioners"
19-2032,Materials Scientists,1,19-2032.00,8470.0,126180.0,117790.0,62.2,0.0,64.3,39.9,28.8,Displaceable,1068744600,"Research, Development, Design, and Practitioners"
19-3022,Survey Researchers,1,19-3022.00,8290.0,79580.0,69460.0,65.8,0.0,70.5,39.0,36.4,Displaceable,659718200,"Research, Development, Design, and Practitioners"
17-2121,Marine Engineers and Naval Architects,1,17-2121.00,8250.0,124180.0,112230.0,59.3,0.0,57.9,39.2,22.0,Insulated,1024485000,"Research, Development, Design, and Practitioners"
29-1161,Nurse Midwives,1,29-1161.00,7920.0,136980.0,134040.0,48.2,0.0,56.4,60.0,37.0,Human-anchored,1084881600,"Research, Development, Design, and Practitioners"
29-1291,Acupuncturists,1,29-1291.00,7830.0,87020.0,76040.0,42.3,0.0,46.7,62.1,30.4,Human-anchored,681366600,"Research, Development, Design, and Practitioners"
25-1031,"Architecture Teachers, Postsecondary",1,25-1031.00,7700.0,101250.0,96870.0,67.5,0.0,71.4,36.4,36.6,Displaceable,779625000,Postsecondary Teaching
19-4043,"Geological Technicians, Except Hydrologic Technicians",1,19-4043.00,6980.0,61870.0,53350.0,53.7,0.0,45.2,37.8,5.9,Insulated,431852600,Technologists and Technicians
25-1053,"Environmental Science Teachers, Postsecondary",1,25-1053.00,6690.0,103610.0,94980.0,67.1,0.0,71.2,37.0,37.2,Displaceable,693150900,Postsecondary Teaching
19-4051,Nuclear Technicians,2,19-4051.02;19-4051.00,6470.0,108940.0,110240.0,48.3,1.1,39.9,43.3,-1.2,Human-anchored,704841800,Technologists and Technicians
29-1023,Orthodontists,1,29-1023.00,6210.0,259400.0,289140.0,44.5,0.0,49.9,60.9,31.5,Human-anchored,1610874000,"Research, Development, Design, and Practitioners"
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",1,17-2151.00,6080.0,115410.0,106220.0,61.8,0.0,64.9,41.2,31.8,Contested,701692800,"Research, Development, Design, and Practitioners"
19-2043,Hydrologists,1,19-2043.00,5850.0,103600.0,96600.0,60.3,0.0,61.6,41.1,29.6,Human-anchored,606060000,"Research, Development, Design, and Practitioners"
19-3094,Political Scientists,1,19-3094.00,5540.0,142510.0,142080.0,69.8,0.0,77.6,38.2,47.7,Displaceable,789505400,"Research, Development, Design, and Practitioners"
25-1061,"Anthropology and Archeology Teachers, Postsecondary",1,25-1061.00,5240.0,106880.0,99650.0,66.5,0.0,70.7,37.8,38.1,Displaceable,560051200,Postsecondary Teaching
29-1022,Oral and Maxillofacial Surgeons,1,29-1022.00,4910.0,346490.0,352220.0,29.8,0.0,33.1,73.4,25.0,Human-anchored,1701265900,"Research, Development, Design, and Practitioners"
29-9092,Genetic Counselors,1,29-9092.00,3740.0,104620.0,100040.0,60.8,0.0,72.8,51.3,48.8,Contested,391278800,"Research, Development, Design, and Practitioners"
15-2099,"Mathematical Science Occupations, All Other",1,15-2099.01,3720.0,91550.0,81490.0,74.6,0.0,77.0,27.9,31.7,Displaceable,340566000,"Research, Development, Design, and Practitioners; Technologists and Technicians"
29-2036,Medical Dosimetrists,1,29-2036.00,3410.0,148500.0,147470.0,51.3,0.0,52.4,49.7,20.8,Human-anchored,506385000,Technologists and Technicians
25-1064,"Geography Teachers, Postsecondary",1,25-1064.00,3330.0,102350.0,97590.0,66.6,0.0,69.9,36.6,35.0,Displaceable,340825500,Postsecondary Teaching
19-1011,Animal Scientists,1,19-1011.00,3100.0,88350.0,68940.0,67.0,0.0,71.3,37.3,40.8,Displaceable,273885000,"Research, Development, Design, and Practitioners"
19-4044,Hydrologic Technicians,1,19-4044.00,2840.0,69530.0,64790.0,61.2,0.0,59.8,37.4,21.5,Insulated,197465200,Technologists and Technicians
19-3041,Sociologists,1,19-3041.00,2260.0,114920.0,106030.0,64.1,0.0,71.1,43.0,43.2,Contested,259719200,"Research, Development, Design, and Practitioners"
19-2011,Astronomers,1,19-2011.00,2120.0,132920.0,128820.0,63.3,0.0,67.0,40.4,35.4,Displaceable,281790400,"Research, Development, Design, and Practitioners"
15-2021,Mathematicians,1,15-2021.00,2030.0,129260.0,126710.0,77.2,0.0,82.8,28.4,36.5,Displaceable,262397800,"Research, Development, Design, and Practitioners"
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",1,25-1043.00,1520.0,102450.0,101420.0,67.2,0.0,71.3,36.8,37.0,Displaceable,155724000,Postsecondary Teaching
17-2021,Agricultural Engineers,1,17-2021.00,1480.0,108230.0,98590.0,58.6,0.0,60.9,43.6,33.4,Human-anchored,160180400,"Research, Development, Design, and Practitioners"
19-3092,Geographers,1,19-3092.00,1400.0,102350.0,102040.0,61.5,0.0,60.9,38.0,26.9,Insulated,143290000,"Research, Development, Design, and Practitioners"
29-1243,Pediatric Surgeons,1,29-1243.00,1190.0,502050.0,559030.0,45.9,0.0,51.5,59.7,30.5,Human-anchored,597439500,"Research, Development, Design, and Practitioners"
29-1024,Prosthodontists,1,29-1024.00,870.0,268630.0,311180.0,30.2,0.0,26.7,66.4,13.1,Human-anchored,233708100,"Research, Development, Design, and Practitioners"
19-3032,Industrial-Organizational Psychologists,1,19-3032.00,790.0,170230.0,193950.0,62.4,0.0,68.8,44.0,42.1,Contested,134481700,"Research, Development, Design, and Practitioners"
