soc_code,soc_title,n_onet_occupations,onet_codes,total_employment,annual_mean_wage,annual_median_wage,susceptibility,susceptibility_sd_within_soc,exposure,anchoring,deployment_gap,quadrant,wage_bill_usd,stem_occupation_types
19-1042,"Medical Scientists, Except Epidemiologists",1,19-1042.00,172340.0,116840.0,103410.0,59.6,0.0,64.5,45.4,35.1,Contested,20136205600,"Research, Development, Design, and Practitioners"
29-1122,Occupational Therapists,2,29-1122.00;29-1122.01,162450.0,101280.0,100330.0,49.8,0.7,56.5,56.9,37.2,Human-anchored,16452936000,"Research, Development, Design, and Practitioners"
29-1071,Physician Assistants,2,29-1071.00;29-1071.01,162150.0,141280.0,135880.0,42.6,9.6,44.8,59.5,25.1,Human-anchored,22908552000,"Research, Development, Design, and Practitioners"
29-2053,Psychiatric Technicians,1,29-2053.00,156960.0,46610.0,45130.0,41.4,0.0,41.6,58.8,22.6,Human-anchored,7315905600,Technologists and Technicians
17-2199,"Engineers, All Other",8,17-2199.03;17-2199.07;17-2199.08;17-2199.06;17-2199.05;17-2199.11;17-2199.09;17-2199.10,154070.0,125330.0,122930.0,61.4,1.9,62.5,39.7,29.4,Displaceable,19309593100,"Research, Development, Design, and Practitioners"
15-1231,Computer Network Support Specialists,1,15-1231.00,146190.0,81870.0,76220.0,67.6,0.0,63.8,28.7,10.9,Displaceable,11968575300,Technologists and Technicians
29-1126,Respiratory Therapists,1,29-1126.00,139790.0,87300.0,82280.0,42.7,0.0,44.8,59.5,23.3,Human-anchored,12203667000,"Research, Development, Design, and Practitioners"
29-2056,Veterinary Technologists and Technicians,1,29-2056.00,129140.0,49120.0,47380.0,38.7,0.0,32.2,54.8,5.5,Human-anchored,6343356800,Technologists and Technicians
29-1021,"Dentists, General",1,29-1021.00,124390.0,191350.0,170950.0,36.5,0.0,36.8,63.9,23.3,Human-anchored,23802026500,"Research, Development, Design, and Practitioners"
29-2055,Surgical Technologists,1,29-2055.00,117460.0,68710.0,64650.0,38.6,0.0,29.3,52.1,-1.5,Human-anchored,8070676600,Technologists and Technicians
15-1255,Web and Digital Interface Designers,2,15-1255.00;15-1255.01,113330.0,117490.0,104000.0,74.4,1.9,77.8,28.9,33.4,Displaceable,13315141700,"Research, Development, Design, and Practitioners"
11-9121,Natural Sciences Managers,3,11-9121.01;11-9121.02;11-9121.00,108690.0,180250.0,167220.0,63.5,2.2,67.5,40.4,34.6,Displaceable,19591372500,Managerial
15-2031,Operations Research Analysts,1,15-2031.00,108510.0,99730.0,88940.0,72.0,0.0,77.1,33.1,39.2,Displaceable,10821702300,"Research, Development, Design, and Practitioners"
29-1215,Family Medicine Physicians,1,29-1215.00,107510.0,255820.0,244180.0,53.0,0.0,62.2,56.2,41.7,Human-anchored,27503208200,"Research, Development, Design, and Practitioners"
17-1011,"Architects, Except Landscape and Naval",1,17-1011.00,106770.0,106260.0,99280.0,61.0,0.0,63.9,41.8,33.4,Contested,11345380200,"Research, Development, Design, and Practitioners"
17-3011,Architectural and Civil Drafters,1,17-3011.00,103700.0,70740.0,66150.0,65.4,0.0,62.8,32.0,21.7,Displaceable,7335738000,Technologists and Technicians
29-2043,Paramedics,1,29-2043.00,100610.0,63360.0,60600.0,38.7,0.0,43.4,66.1,30.6,Human-anchored,6374649600,Technologists and Technicians
17-2072,"Electronics Engineers, Except Computer",2,17-2072.00;17-2072.01,96900.0,137280.0,130220.0,64.0,0.5,64.4,36.5,25.9,Displaceable,13302432000,"Research, Development, Design, and Practitioners"
17-3023,Electrical and Electronic Engineering Technologists and Technicians,1,17-3023.00,95130.0,80680.0,78190.0,60.9,0.0,58.1,36.3,21.1,Insulated,7675088400,Technologists and Technicians
15-1251,Computer Programmers,1,15-1251.00,92230.0,105170.0,100390.0,74.2,0.0,76.8,28.4,26.7,Displaceable,9699829100,"Research, Development, Design, and Practitioners"
29-2032,Diagnostic Medical Sonographers,1,29-2032.00,90160.0,97240.0,96590.0,47.2,0.0,46.3,52.0,14.1,Human-anchored,8767158400,Technologists and Technicians
